rho,	rhou,	rhov,	rhoet
0.0137239,	0.0123388,	0.00785535,	0.0157207
0.0167455,	0.0152225,	0.00868913,	0.0188598
0.0163927,	0.0149081,	0.0085104,	0.0185193
0.0160161,	0.0145708,	0.00832299,	0.0181487
0.0156216,	0.0142163,	0.00812826,	0.0177542
0.0152132,	0.0138486,	0.00792739,	0.0173402
0.0147947,	0.013471,	0.00772157,	0.0169107
0.0143691,	0.0130865,	0.0075119,	0.0164692
0.0139393,	0.0126976,	0.00729948,	0.0160187
0.0135075,	0.0123065,	0.00708528,	0.0155622
0.0130759,	0.0119152,	0.00687026,	0.0151021
0.0126463,	0.0115253,	0.00665525,	0.0146406
0.0122202,	0.0111382,	0.00644104,	0.0141797
0.0117988,	0.0107552,	0.00622835,	0.013721
0.0113738,	0.0103677,	0.00602018,	0.0132561
0.0109723,	0.0100029,	0.00580856,	0.0128093
0.0105844,	0.00964701,	0.00559811,	0.0123722
0.0102059,	0.00930302,	0.00539225,	0.0119461
0.00983573,	0.00896631,	0.00519119,	0.0115322
0.00947435,	0.00864472,	0.00499649,	0.0111262
0.00912215,	0.00835091,	0.00483265,	0.0107571
0.00878042,	0.00811155,	0.0046809,	0.0104466
0.00847869,	0.00787499,	0.0045323,	0.0101596
0.00827527,	0.00771582,	0.00438042,	0.00986261
0.00843889,	0.00785772,	0.00422577,	0.00957629
0.00861176,	0.00800805,	0.00406855,	0.00953895
0.00880633,	0.00817859,	0.00400478,	0.0097849
0.00895423,	0.00830565,	0.00412225,	0.00997924
0.00906089,	0.00839447,	0.00422006,	0.0101277
0.00913098,	0.00844954,	0.0042999,	0.0102351
0.00916862,	0.00847482,	0.00436329,	0.0103058
0.00917729,	0.00847356,	0.0044116,	0.0103435
0.00916008,	0.00844867,	0.00444613,	0.0103513
0.00911989,	0.00840286,	0.00446794,	0.0103324
0.0090595,	0.00833877,	0.00447878,	0.0102896
0.00898689,	0.00826165,	0.00452009,	0.0102263
0.00889903,	0.008166,	0.00459145,	0.0101353
0.00878762,	0.00805236,	0.00459349,	0.0100261
0.0086957,	0.00797403,	0.00451478,	0.00996033
0.00859918,	0.0078879,	0.00446743,	0.00988015
0.00850027,	0.00779689,	0.00437041,	0.00979131
0.00841738,	0.00772313,	0.00426348,	0.00968332
0.00831629,	0.00763052,	0.00424722,	0.00957211
0.00819213,	0.00750977,	0.00421993,	0.00941811
0.00804081,	0.00746372,	0.00411195,	0.00933157
0.0079885,	0.00742934,	0.00402928,	0.00930948
0.00785199,	0.00730493,	0.00394772,	0.00917891
0.00771708,	0.0072451,	0.0038668,	0.00892948
0.00784282,	0.00735349,	0.0037926,	0.008697
0.00795049,	0.00744472,	0.00371555,	0.00870995
0.00804047,	0.00751932,	0.00364393,	0.0088347
0.00811379,	0.00757856,	0.00357909,	0.00894083
0.00817137,	0.00762348,	0.00364351,	0.00902943
0.00821419,	0.00765515,	0.0037004,	0.00910166
0.00824292,	0.00767422,	0.00375,	0.00915817
0.00825809,	0.0076811,	0.00379253,	0.00919933
0.00826016,	0.00767608,	0.00382819,	0.00922543
0.00824977,	0.0076598,	0.00385721,	0.00923711
0.00822751,	0.00763275,	0.00387982,	0.00923489
0.00819393,	0.00759541,	0.00389627,	0.00921926
0.00814978,	0.00754842,	0.00390673,	0.00919098
0.00809535,	0.00750069,	0.00391279,	0.0091503
0.00805514,	0.00745857,	0.00391302,	0.00909906
0.00800515,	0.00740639,	0.00392905,	0.0090443
0.0079445,	0.00734412,	0.00398612,	0.00899529
0.00787435,	0.00727285,	0.00394029,	0.00893462
0.00780263,	0.00719411,	0.00392606,	0.00886157
0.00772328,	0.00713268,	0.00392698,	0.00878542
0.00766103,	0.00709527,	0.00387615,	0.00874263
0.00759645,	0.00704687,	0.00381392,	0.00866147
0.00755097,	0.00700583,	0.00374674,	0.00861357
0.00749882,	0.00695637,	0.00370918,	0.00857681
0.00744786,	0.00690226,	0.00375861,	0.00852481
0.00739526,	0.00684912,	0.0037782,	0.00847261
0.00735923,	0.00682651,	0.0037047,	0.00846484
0.00726094,	0.00673711,	0.00363258,	0.00837645
0.00727582,	0.00682764,	0.0035661,	0.0081601
0.0073657,	0.00690701,	0.00350247,	0.00807542
0.00744128,	0.00697296,	0.00344653,	0.00818052
0.00750222,	0.00702478,	0.00339053,	0.00826905
0.00754924,	0.00706317,	0.00333838,	0.00834173
0.00758334,	0.00708928,	0.00338404,	0.00839971
0.00760515,	0.00710365,	0.003424,	0.00844353
0.00761525,	0.00710689,	0.00345836,	0.00847378
0.00761402,	0.00709928,	0.00348725,	0.00849068
0.00760198,	0.00708129,	0.00351076,	0.00849472
0.00757911,	0.00705227,	0.00352898,	0.00848521
0.00754602,	0.0070132,	0.00354239,	0.0084633
0.00750398,	0.00696561,	0.00355182,	0.0084307
0.00745378,	0.00691042,	0.00355582,	0.00838833
0.00739629,	0.00684857,	0.00355427,	0.00833718
0.00733545,	0.00677895,	0.00359874,	0.00827835
0.00728355,	0.00676173,	0.00362632,	0.00821357
0.00726058,	0.00677481,	0.00354751,	0.00815533
0.00727345,	0.0067852,	0.0035041,	0.00815037
0.00762184,	0.00737885,	0.00354454,	0.00817146
0.00726548,	0.00677156,	0.00349222,	0.00818036
0.00724829,	0.00675134,	0.00347852,	0.00817896
0.00722184,	0.00672179,	0.0034716,	0.00816591
0.00718709,	0.00668402,	0.0034648,	0.00814255
0.00714505,	0.00663925,	0.00347451,	0.0081213
0.00709979,	0.0065964,	0.00351207,	0.00807998
