rho,	rhou,	rhov,	rhoet
0.129843,	0.098475,	0.0864009,	0.144604
0.129361,	0.0990596,	0.0834428,	0.14406
0.128988,	0.0995916,	0.0809465,	0.143637
0.128671,	0.100046,	0.0788236,	0.14328
0.128395,	0.10043,	0.0770103,	0.142971
0.128155,	0.100753,	0.075457,	0.142701
0.127952,	0.101032,	0.0741273,	0.14247
0.127715,	0.101214,	0.0729688,	0.142208
0.127344,	0.101222,	0.071923,	0.141816
0.12643,	0.100715,	0.0708351,	0.140893
0.125075,	0.0997926,	0.0696951,	0.139528
0.123381,	0.0985515,	0.0685011,	0.137812
0.121425,	0.0970623,	0.0672584,	0.135814
0.119277,	0.0953877,	0.0659775,	0.133584
0.116997,	0.0935877,	0.0646672,	0.131197
0.114634,	0.0917065,	0.0633371,	0.128701
0.112228,	0.0897804,	0.0619984,	0.126142
0.109826,	0.0878538,	0.0606632,	0.123563
0.107468,	0.085959,	0.0593437,	0.121
0.105188,	0.0841279,	0.058051,	0.118491
0.10291,	0.082299,	0.0567341,	0.115943
0.100528,	0.0803902,	0.0553087,	0.113218
0.0983386,	0.0786493,	0.0539504,	0.110664
0.0964092,	0.0771288,	0.0527046,	0.108361
0.0947559,	0.0758408,	0.051587,	0.106333
0.093377,	0.0747831,	0.0506015,	0.104587
0.0922717,	0.0739548,	0.0497561,	0.10313
0.091437,	0.0733501,	0.0490586,	0.101968
0.0908398,	0.0729433,	0.0484953,	0.101071
0.0905287,	0.0727808,	0.0480754,	0.100481
0.0903877,	0.0727487,	0.0477733,	0.100095
0.0903827,	0.0728178,	0.0475754,	0.0998788
0.0904834,	0.072961,	0.0474688,	0.0998018
0.0906648,	0.0731571,	0.0474407,	0.0998372
0.0909068,	0.0733904,	0.0474798,	0.0999622
0.0912072,	0.0736611,	0.0475792,	0.100171
0.0915656,	0.0739719,	0.0477338,	0.10046
0.0919238,	0.0742698,	0.0479233,	0.100772
0.09229,	0.0745641,	0.0481437,	0.101109
0.0926321,	0.0748265,	0.0483807,	0.101435
