rho,	rhou,	rhov,	rhoet
0.617754,	0.455545,	0.446795,	0.707637
0.553039,	0.42245,	0.357918,	0.639775
0.492199,	0.381315,	0.302386,	0.572183
0.446681,	0.348434,	0.266686,	0.518679
0.416139,	0.325661,	0.244733,	0.480965
0.395734,	0.309887,	0.231604,	0.455177
0.380325,	0.297416,	0.223176,	0.43606
0.366893,	0.286224,	0.216711,	0.419915
0.354625,	0.275987,	0.210933,	0.405305
0.343754,	0.267056,	0.20555,	0.39219
0.334474,	0.25958,	0.200641,	0.380789
0.326531,	0.25326,	0.196244,	0.370968
0.319406,	0.247592,	0.192241,	0.362243
0.312738,	0.242283,	0.188476,	0.35419
0.30636,	0.237213,	0.18482,	0.346538
0.300305,	0.232435,	0.181243,	0.339254
0.294613,	0.22799,	0.177769,	0.332374
0.289227,	0.223801,	0.17441,	0.325856
0.28402,	0.219729,	0.171143,	0.319571
0.278916,	0.215728,	0.167933,	0.313436
0.273881,	0.211778,	0.164754,	0.307395
0.268907,	0.207868,	0.161592,	0.301424
0.263998,	0.203997,	0.158441,	0.295506
0.259159,	0.200182,	0.155309,	0.289658
0.25436,	0.196391,	0.152191,	0.283856
0.249569,	0.192588,	0.149078,	0.278071
0.244755,	0.188746,	0.145948,	0.272244
0.239934,	0.184892,	0.142798,	0.266393
0.235107,	0.181029,	0.139628,	0.26052
0.230275,	0.177157,	0.136442,	0.254643
0.225404,	0.173235,	0.133228,	0.248703
0.220497,	0.169273,	0.129982,	0.242706
0.215559,	0.165284,	0.126705,	0.236667
0.2106,	0.161275,	0.1234,	0.230606
0.205596,	0.157219,	0.120065,	0.224484
0.200555,	0.153115,	0.1167,	0.218301
0.195492,	0.148991,	0.113313,	0.212086
0.190422,	0.144855,	0.109914,	0.205868
0.185333,	0.140679,	0.106506,	0.199615
0.18023,	0.136468,	0.103095,	0.193328
0.175134,	0.132237,	0.0996908,	0.187028
0.170069,	0.128011,	0.0963068,	0.180752
0.165045,	0.123787,	0.092955,	0.174509
0.16006,	0.119558,	0.0896434,	0.168289
0.155135,	0.115339,	0.0863816,	0.162111
0.150297,	0.111165,	0.0831833,	0.156019
0.145567,	0.107056,	0.0800613,	0.150047
0.140955,	0.103013,	0.0770269,	0.144207
0.136461,	0.0990407,	0.0740858,	0.1385
0.132107,	0.0951668,	0.071247,	0.132957
0.12791,	0.0914201,	0.0685183,	0.127615
0.123882,	0.0878148,	0.0659059,	0.122495
0.120026,	0.0843454,	0.0634147,	0.117604
0.116333,	0.0810069,	0.0610447,	0.112929
0.112807,	0.0778126,	0.0587958,	0.108478
0.10945,	0.0747765,	0.0566676,	0.104264
0.106263,	0.0719018,	0.054658,	0.100292
0.103241,	0.0691874,	0.0527646,	0.0965589
0.100378,	0.0666272,	0.0509836,	0.0930576
0.0976628,	0.064204,	0.0493091,	0.0897679
0.0950836,	0.0619027,	0.0477336,	0.0866674
0.0926334,	0.0597258,	0.0462509,	0.0837499
0.0903042,	0.0576685,	0.044855,	0.081005
0.0880899,	0.0557264,	0.0435398,	0.0784242
0.0859852,	0.0538967,	0.0422997,	0.0760025
0.08398,	0.0521653,	0.0411285,	0.0737217
0.0820672,	0.0505251,	0.0400204,	0.0715706
0.0802401,	0.0489704,	0.0389702,	0.0695403
0.0784896,	0.0474896,	0.0379723,	0.0676142
0.0768106,	0.0460759,	0.0370223,	0.0657838
0.0751973,	0.0447248,	0.0361156,	0.0640403
0.0736452,	0.0434307,	0.0352482,	0.0623763
0.07215,	0.0421906,	0.0344167,	0.0607862
0.0707064,	0.0409952,	0.0336173,	0.0592592
0.0693112,	0.0398471,	0.0328474,	0.057794
0.0679613,	0.0387422,	0.0321047,	0.0563857
0.0666544,	0.0376791,	0.0313871,	0.0550328
0.0653868,	0.0366523,	0.0306924,	0.053728
0.0641559,	0.0356596,	0.030019,	0.052468
0.0629598,	0.0346999,	0.0293652,	0.0512508
0.0617971,	0.0337726,	0.0287299,	0.0500755
0.0606657,	0.0328756,	0.0281118,	0.0489399
0.0595627,	0.0320056,	0.0275097,	0.0478389
0.0584862,	0.0311605,	0.0269224,	0.0467696
0.0574349,	0.0303397,	0.0263491,	0.0457307
0.0564079,	0.0295425,	0.0257892,	0.0447214
0.055404,	0.0287673,	0.025242,	0.0437405
0.054422,	0.0280145,	0.024707,	0.0427871
0.0534606,	0.0272825,	0.0241833,	0.0418592
0.0525185,	0.0265697,	0.0236706,	0.0409546
0.0515946,	0.0258755,	0.0231682,	0.0400724
0.0506885,	0.0251994,	0.0226758,	0.0392122
0.0497994,	0.0245417,	0.0221928,	0.0383736
0.0489262,	0.0239014,	0.021719,	0.0375549
0.0480683,	0.0232778,	0.0212541,	0.0367553
0.0472251,	0.0226708,	0.0207978,	0.0359744
0.0463965,	0.0220798,	0.02035,	0.0352127
0.0455811,	0.0215029,	0.0199103,	0.0344674
0.0447783,	0.0209401,	0.0194784,	0.0337379
0.0439879,	0.0203909,	0.0190543,	0.0330236
0.0432094,	0.0198555,	0.0186377,	0.0323246
0.0424427,	0.019334,	0.0182285,	0.0316407
0.0416875,	0.0188267,	0.0178267,	0.0309721
0.0409437,	0.0183338,	0.017432,	0.030319
0.0402105,	0.0178534,	0.0170443,	0.0296797
0.0394876,	0.0173853,	0.0166635,	0.0290537
0.0387746,	0.0169297,	0.0162895,	0.0284408
0.0380713,	0.0164856,	0.015922,	0.0278402
0.0373774,	0.0160527,	0.0155611,	0.0272518
0.0366927,	0.0156303,	0.0152066,	0.026675
0.0360166,	0.015218,	0.0148584,	0.026109
0.0353492,	0.0148157,	0.0145163,	0.0255534
0.0346902,	0.0144233,	0.0141804,	0.0250083
0.0340395,	0.0140405,	0.0138505,	0.0244734
0.0333972,	0.0136673,	0.0135266,	0.0239485
0.032763,	0.0133035,	0.0132086,	0.0234337
0.0321369,	0.0129489,	0.0128964,	0.0229286
0.0315187,	0.0126035,	0.01259,	0.0224331
0.0309084,	0.0122668,	0.0122892,	0.0219469
0.0303058,	0.0119386,	0.011994,	0.0214697
0.0297107,	0.0116186,	0.0117043,	0.0210012
0.0291232,	0.0113067,	0.0114199,	0.0205416
0.028543,	0.0110025,	0.011141,	0.0200903
0.02797,	0.0107053,	0.0108672,	0.0196468
0.0274041,	0.0104149,	0.0105985,	0.0192107
0.0268453,	0.0101315,	0.010335,	0.0187822
0.0262935,	0.00985516,	0.0100764,	0.0183613
0.0257489,	0.00958609,	0.00982277,	0.0179482
0.0252112,	0.00932342,	0.00957399,	0.0175423
0.0246804,	0.00906696,	0.00933,	0.0171432
0.0241564,	0.00881667,	0.00909071,	0.016751
0.0236393,	0.00857247,	0.00885606,	0.0163655
0.0231289,	0.00833426,	0.008626,	0.0159867
0.0226254,	0.00810188,	0.00840047,	0.0156144
0.0221286,	0.00787519,	0.00817943,	0.0152485
0.0216385,	0.00765404,	0.00796283,	0.0148891
0.0211552,	0.00743829,	0.00775063,	0.0145359
0.0206786,	0.00722775,	0.00754279,	0.0141889
0.0202087,	0.00702226,	0.00733926,	0.013848
0.0197454,	0.00682173,	0.00713995,	0.0135131
0.0192888,	0.00662605,	0.00694483,	0.013184
0.0188388,	0.00643514,	0.00675384,	0.0128608
0.0183955,	0.00624892,	0.0065669,	0.0125433
0.0179587,	0.0060673,	0.00638398,	0.0122314
0.0175286,	0.0058902,	0.00620501,	0.0119252
0.017105,	0.00571752,	0.00602994,	0.0116246
0.016688,	0.00554917,	0.0058587,	0.0113294
0.0162775,	0.00538506,	0.00569125,	0.0110397
0.0158736,	0.0052251,	0.00552754,	0.0107555
0.0154763,	0.00506919,	0.00536752,	0.0104765
0.0150855,	0.00491724,	0.00521111,	0.0102028
0.0147012,	0.00476916,	0.00505827,	0.00993427
0.0143234,	0.00462484,	0.00490894,	0.00967088
0.013952,	0.00448422,	0.00476307,	0.00941255
0.0135871,	0.00434719,	0.0046206,	0.00915922
0.0132285,	0.00421368,	0.00448147,	0.00891083
0.0128764,	0.00408361,	0.00434563,	0.00866733
0.0125305,	0.0039569,	0.00421304,	0.00842865
0.012191,	0.00383348,	0.00408363,	0.00819474
0.0118577,	0.00371327,	0.00395736,	0.00796555
0.0115307,	0.00359621,	0.00383418,	0.00774103
0.0112099,	0.00348223,	0.00371403,	0.00752113
0.0108953,	0.00337127,	0.00359688,	0.00730579
0.0105868,	0.00326325,	0.00348267,	0.00709498
0.0102844,	0.00315811,	0.00337134,	0.00688864
0.00998807,	0.0030558,	0.00326286,	0.00668671
0.00969778,	0.00295625,	0.00315717,	0.00648916
0.00941348,	0.0028594,	0.00305423,	0.00629593
0.00913512,	0.00276519,	0.00295398,	0.00610697
0.00886265,	0.00267357,	0.00285638,	0.00592224
0.00859603,	0.00258448,	0.00276138,	0.00574167
0.00833522,	0.00249786,	0.00266892,	0.00556522
0.00808016,	0.0024137,	0.00257898,	0.00539288
0.0078308,	0.00233192,	0.00249149,	0.00522456
0.00758708,	0.00225243,	0.00240641,	0.0050602
0.00734895,	0.00217519,	0.00232369,	0.00489974
0.00711634,	0.00210014,	0.00224329,	0.00474313
0.00688921,	0.00202725,	0.00216516,	0.00459034
0.00666749,	0.00195647,	0.00208926,	0.0044413
0.00645113,	0.00188775,	0.00201554,	0.00429597
0.00624005,	0.00182106,	0.00194395,	0.0041543
0.00603421,	0.00175633,	0.00187446,	0.00401624
0.00583353,	0.00169354,	0.00180701,	0.00388172
0.00563795,	0.00163262,	0.00174157,	0.00375071
0.0054474,	0.00157355,	0.00167809,	0.00362315
0.0052618,	0.00151627,	0.00161652,	0.00349897
0.0050811,	0.00146074,	0.00155684,	0.00337813
0.00490521,	0.00140693,	0.00149898,	0.00326058
0.00473407,	0.00135478,	0.00144292,	0.00314625
0.0045676,	0.00130427,	0.00138861,	0.0030351
0.00440573,	0.00125535,	0.00133602,	0.00292707
0.00424839,	0.00120798,	0.00128509,	0.0028221
0.00409549,	0.00116212,	0.00123579,	0.00272015
0.00394697,	0.00111774,	0.00118809,	0.00262115
0.00380274,	0.00107479,	0.00114194,	0.00252504
0.00366273,	0.00103325,	0.0010973,	0.00243178
0.00352687,	0.000993079,	0.00105415,	0.00234131
0.00339506,	0.000954235,	0.00101243,	0.00225357
0.00326724,	0.000916688,	0.000972113,	0.00216851
0.00314333,	0.000880403,	0.000933165,	0.00208608
0.00302324,	0.000845348,	0.000895549,	0.00200621
0.00290691,	0.000811488,	0.000859229,	0.00192885
0.00279424,	0.000778792,	0.000824171,	0.00185396
0.00268517,	0.000747228,	0.00079034,	0.00178146
0.0025796,	0.000716765,	0.000757702,	0.00171132
0.00247747,	0.000687371,	0.000726225,	0.00164347
0.0023787,	0.000659019,	0.000695876,	0.00157786
0.00228321,	0.000631677,	0.000666623,	0.00151445
0.00219092,	0.000605318,	0.000638436,	0.00145317
0.00210176,	0.000579913,	0.000611283,	0.00139397
0.00201565,	0.000555433,	0.000585133,	0.00133681
0.00193252,	0.000531853,	0.000559958,	0.00128163
0.00185228,	0.000509145,	0.000535728,	0.00122839
0.00177486,	0.000487283,	0.000512413,	0.00117702
0.0017002,	0.000466241,	0.000489987,	0.00112748
0.00162821,	0.000445994,	0.000468422,	0.00107972
0.00155882,	0.000426518,	0.00044769,	0.0010337
0.00149197,	0.000407789,	0.000427766,	0.000989354
0.00142758,	0.000389783,	0.000408623,	0.000946648
0.00136559,	0.000372477,	0.000390236,	0.000905532
0.00130591,	0.000355848,	0.000372581,	0.00086596
0.00124849,	0.000339876,	0.000355634,	0.000827885
0.00119327,	0.000324537,	0.00033937,	0.000791265
0.00114016,	0.000309812,	0.000323767,	0.000756054
0.00108911,	0.00029568,	0.000308802,	0.000722209
0.00104006,	0.00028212,	0.000294454,	0.000689689
0.000992945,	0.000269114,	0.000280701,	0.000658452
0.000947698,	0.000256643,	0.000267523,	0.000628456
0.000904264,	0.000244687,	0.000254898,	0.000599662
0.000862583,	0.000233229,	0.000242808,	0.00057203
0.000822597,	0.000222251,	0.000231232,	0.000545523
0.00078425,	0.000211736,	0.000220153,	0.000520103
0.000747486,	0.000201668,	0.000209552,	0.000495733
0.000712253,	0.00019203,	0.000199411,	0.000472377
0.000678496,	0.000182807,	0.000189714,	0.00045
0.000646165,	0.000173983,	0.000180443,	0.000428569
0.00061521,	0.000165544,	0.000171582,	0.000408048
0.00058558,	0.000157474,	0.000163116,	0.000388407
0.000557229,	0.000149761,	0.00015503,	0.000369613
0.00053011,	0.00014239,	0.000147308,	0.000351636
0.000504177,	0.000135348,	0.000139936,	0.000334444
0.000479387,	0.000128623,	0.0001329,	0.00031801
0.000455696,	0.000122201,	0.000126187,	0.000302304
0.000433063,	0.000116072,	0.000119784,	0.000287299
0.000411447,	0.000110223,	0.000113679,	0.000272969
0.000390808,	0.000104643,	0.000107858,	0.000259286
0.00037111,	9.93215e-05,	0.000102311,	0.000246225
0.000352314,	9.42477e-05,	9.70261e-05,	0.000233763
0.000334384,	8.94114e-05,	9.19919e-05,	0.000221875
0.000317287,	8.48028e-05,	8.71982e-05,	0.000210538
0.000300987,	8.04124e-05,	8.26346e-05,	0.00019973
0.000285453,	7.6231e-05,	7.82913e-05,	0.00018943
0.000270653,	7.22498e-05,	7.41589e-05,	0.000179615
0.000256557,	6.84602e-05,	7.02281e-05,	0.000170267
0.000243134,	6.48541e-05,	6.64901e-05,	0.000161366
0.000230357,	6.14234e-05,	6.29364e-05,	0.000152892
0.000218197,	5.81605e-05,	5.95589e-05,	0.000144827
0.000206629,	5.5058e-05,	5.63496e-05,	0.000137155
0.000195627,	5.21089e-05,	5.3301e-05,	0.000129857
0.000185166,	4.93064e-05,	5.04058e-05,	0.000122918
0.000175222,	4.66437e-05,	4.76571e-05,	0.000116322
0.000165773,	4.41147e-05,	4.5048e-05,	0.000110054
0.000156795,	4.17133e-05,	4.25721e-05,	0.000104098
0.000148269,	3.94336e-05,	4.02233e-05,	9.84419e-05
0.000140174,	3.727e-05,	3.79956e-05,	9.30709e-05
0.000132489,	3.52172e-05,	3.58833e-05,	8.79724e-05
0.000125197,	3.32699e-05,	3.38809e-05,	8.31339e-05
0.000118278,	3.14233e-05,	3.19832e-05,	7.85433e-05
0.000111717,	2.96725e-05,	3.01852e-05,	7.41891e-05
0.000105495,	2.80131e-05,	2.8482e-05,	7.00602e-05
9.95965e-05,	2.64407e-05,	2.68691e-05,	6.6146e-05
9.40068e-05,	2.4951e-05,	2.53421e-05,	6.24364e-05
8.87109e-05,	2.35401e-05,	2.38967e-05,	5.89215e-05
8.36945e-05,	2.22041e-05,	2.25289e-05,	5.55921e-05
7.89442e-05,	2.09395e-05,	2.12349e-05,	5.24391e-05
7.4447e-05,	1.97426e-05,	2.0011e-05,	4.9454e-05
7.01906e-05,	1.86101e-05,	1.88536e-05,	4.66285e-05
6.6163e-05,	1.75389e-05,	1.77595e-05,	4.39548e-05
6.23529e-05,	1.65258e-05,	1.67253e-05,	4.14254e-05
5.87495e-05,	1.55679e-05,	1.57481e-05,	3.90331e-05
5.53425e-05,	1.46625e-05,	1.4825e-05,	3.6771e-05
5.21218e-05,	1.38068e-05,	1.39531e-05,	3.46326e-05
4.90781e-05,	1.29984e-05,	1.31298e-05,	3.26116e-05
4.62024e-05,	1.22348e-05,	1.23525e-05,	3.0702e-05
4.3486e-05,	1.15137e-05,	1.16189e-05,	2.88982e-05
4.09208e-05,	1.08328e-05,	1.09267e-05,	2.71946e-05
3.84988e-05,	1.01902e-05,	1.02737e-05,	2.55862e-05
3.62127e-05,	9.5837e-06,	9.65773e-06,	2.40678e-05
3.40554e-05,	9.0115e-06,	9.07693e-06,	2.2635e-05
3.202e-05,	8.47177e-06,	8.52937e-06,	2.1283e-05
3.01001e-05,	7.96277e-06,	8.01328e-06,	2.00078e-05
2.82897e-05,	7.48287e-06,	7.52694e-06,	1.88051e-05
2.65828e-05,	7.03051e-06,	7.06875e-06,	1.76712e-05
2.49738e-05,	6.6042e-06,	6.63717e-06,	1.66023e-05
2.34576e-05,	6.20252e-06,	6.23075e-06,	1.5595e-05
2.20291e-05,	5.82415e-06,	5.84809e-06,	1.46459e-05
2.06835e-05,	5.4678e-06,	5.48789e-06,	1.37519e-05
1.94163e-05,	5.13227e-06,	5.14891e-06,	1.29099e-05
1.82232e-05,	4.81641e-06,	4.82996e-06,	1.21171e-05
1.71002e-05,	4.51913e-06,	4.52992e-06,	1.13708e-05
1.60432e-05,	4.23939e-06,	4.24773e-06,	1.06684e-05
1.50487e-05,	3.97623e-06,	3.98238e-06,	1.00074e-05
1.41132e-05,	3.7287e-06,	3.73292e-06,	9.38567e-06
1.32333e-05,	3.49594e-06,	3.49845e-06,	8.80088e-06
1.2406e-05,	3.27709e-06,	3.2781e-06,	8.25097e-06
1.16282e-05,	3.07138e-06,	3.07109e-06,	7.73398e-06
1.08971e-05,	2.87806e-06,	2.87662e-06,	7.24803e-06
1.02102e-05,	2.69642e-06,	2.69399e-06,	6.79136e-06
9.56474e-06,	2.52578e-06,	2.5225e-06,	6.3623e-06
8.95848e-06,	2.36551e-06,	2.36152e-06,	5.95925e-06
8.38913e-06,	2.21502e-06,	2.21041e-06,	5.58073e-06
7.85455e-06,	2.07373e-06,	2.06862e-06,	5.2253e-06
