rho,	rhou,	rhov,	rhoet
0.116554,	0.105127,	0.0653848,	0.132971
0.0939029,	0.085173,	0.0503244,	0.108982
0.0747609,	0.0680055,	0.0392585,	0.0879544
0.0583175,	0.0530905,	0.0303991,	0.0693185
0.0590504,	0.0543686,	0.0283946,	0.0668231
0.0597668,	0.0547015,	0.0301961,	0.0685897
0.0567446,	0.0517534,	0.0298747,	0.0659314
0.0514451,	0.0466811,	0.0279606,	0.0603968
0.0487986,	0.0450232,	0.0249435,	0.0551256
0.0513825,	0.04716,	0.0256846,	0.0587684
0.0510514,	0.0465795,	0.0264754,	0.0590382
0.0486919,	0.0442998,	0.0258775,	0.056772
0.0455737,	0.0422528,	0.0243556,	0.0539076
0.0469525,	0.0431022,	0.0234036,	0.0536061
0.0474869,	0.0433228,	0.0245034,	0.0547464
0.0461484,	0.0419882,	0.0243774,	0.0535467
0.0454266,	0.0424351,	0.0234426,	0.0537172
0.0445185,	0.0461552,	0.0234357,	0.0591323
0.044861,	0.0482887,	0.0230376,	0.0620688
0.0438443,	0.0475792,	0.0231453,	0.061315
0.0458373,	0.0461856,	0.023303,	0.0594734
0.0462159,	0.0533258,	0.0241717,	0.0685999
0.0462004,	0.0597058,	0.0235838,	0.0770268
0.0493073,	0.0631899,	0.0236051,	0.0817129
0.0497074,	0.0635033,	0.023981,	0.0822717
0.0494015,	0.0627794,	0.0254318,	0.0814194
0.0571537,	0.0717863,	0.0292609,	0.0926431
0.0650085,	0.0813281,	0.0325406,	0.105141
0.070529,	0.0883726,	0.0345835,	0.114414
0.0743115,	0.0929602,	0.037521,	0.120489
0.0809073,	0.0999458,	0.0404695,	0.130051
0.0811793,	0.0995849,	0.0415048,	0.128068
0.092764,	0.111872,	0.0481616,	0.144063
0.10018,	0.116611,	0.0508072,	0.151193
0.123099,	0.145522,	0.0610617,	0.188289
0.137914,	0.159374,	0.0672735,	0.204552
0.125878,	0.142643,	0.0587865,	0.18056
0.120486,	0.148236,	0.0654333,	0.191973
0.131175,	0.160683,	0.0659204,	0.208245
0.114659,	0.141844,	0.0562888,	0.183006
0.122286,	0.14482,	0.0637493,	0.18535
0.121679,	0.144312,	0.0617007,	0.183913
0.112824,	0.129687,	0.0512899,	0.163958
0.121901,	0.138829,	0.0637495,	0.180011
0.129246,	0.145705,	0.0640116,	0.185909
0.108404,	0.121701,	0.0494885,	0.151864
0.0911708,	0.109809,	0.0476315,	0.140989
0.0970371,	0.117055,	0.0494733,	0.149583
0.0821407,	0.100744,	0.0397042,	0.127246
0.0736257,	0.0825706,	0.0382466,	0.107481
0.084886,	0.0948928,	0.0424666,	0.122054
0.0800715,	0.0895386,	0.0374651,	0.113041
0.0580126,	0.0654201,	0.0272689,	0.0805445
0.0567447,	0.0631884,	0.0285615,	0.0808709
0.0504921,	0.0623955,	0.0251083,	0.078963
0.0385995,	0.0482586,	0.0171941,	0.0599212
0.0411756,	0.0444961,	0.0208078,	0.0577922
0.0440168,	0.0481386,	0.0212147,	0.0614804
0.0376736,	0.0418567,	0.016655,	0.0521772
0.0259554,	0.0270671,	0.0135648,	0.0344025
0.0262693,	0.0285984,	0.0123201,	0.0353021
0.0205598,	0.0260594,	0.00982766,	0.0324834
0.0176933,	0.0188955,	0.00768948,	0.0240133
0.0183155,	0.0191593,	0.00897062,	0.0247303
0.0180675,	0.0196143,	0.00831338,	0.0246848
0.0138706,	0.0156362,	0.00571765,	0.0191038
0.00983193,	0.0103714,	0.00486736,	0.0129208
0.00895655,	0.0100973,	0.0040398,	0.0126443
0.00822183,	0.00918083,	0.00363151,	0.0112519
0.00654716,	0.00709429,	0.00277131,	0.00884189
0.00628452,	0.00663361,	0.00298982,	0.00841083
0.00569117,	0.00639383,	0.00248477,	0.00785538
0.00393896,	0.00466324,	0.00150997,	0.00557756
0.0027128,	0.00302501,	0.00129341,	0.0036643
0.00274184,	0.00326246,	0.00127289,	0.00402613
0.00250225,	0.00287094,	0.00108471,	0.00345571
0.00179142,	0.00212308,	0.000716938,	0.00257404
0.00157085,	0.00179984,	0.000740633,	0.00221996
0.00139519,	0.00168113,	0.000583317,	0.0020187
0.00108713,	0.00129673,	0.000445135,	0.00158658
0.000736405,	0.000879686,	0.000365725,	0.00105015
0.000832678,	0.000945281,	0.000356624,	0.00114191
0.00067256,	0.000784531,	0.000252767,	0.000928002
0.000411827,	0.000539818,	0.000158039,	0.000643227
0.000345662,	0.000407409,	0.000163578,	0.00049188
0.000390472,	0.000426167,	0.000166125,	0.000525626
0.000329355,	0.000374615,	0.000123304,	0.000449181
0.000201911,	0.000240474,	8.92352e-05,	0.000283354
0.000198588,	0.000226449,	8.03669e-05,	0.000268034
0.000156114,	0.00018601,	6.29217e-05,	0.000218114
0.000132432,	0.000142454,	4.98498e-05,	0.000172283
9.16766e-05,	9.48905e-05,	4.01293e-05,	0.000115127
9.15264e-05,	0.000103507,	3.7064e-05,	0.000124401
7.36755e-05,	8.84908e-05,	2.66863e-05,	0.000104523
4.72083e-05,	5.91775e-05,	1.63526e-05,	6.94958e-05
3.91288e-05,	4.66682e-05,	1.61211e-05,	5.47799e-05
3.97447e-05,	4.72694e-05,	1.53515e-05,	5.59765e-05
3.18309e-05,	3.84227e-05,	1.08763e-05,	4.50731e-05
1.97605e-05,	2.45667e-05,	7.9411e-06,	2.87782e-05
1.92352e-05,	2.26494e-05,	7.41934e-06,	2.64413e-05
1.71519e-05,	2.04782e-05,	6.76532e-06,	2.40734e-05
1.42059e-05,	1.65694e-05,	4.85531e-06,	1.95541e-05
9.36203e-06,	1.03952e-05,	3.89838e-06,	1.22586e-05
9.58031e-06,	1.12548e-05,	3.60627e-06,	1.31914e-05
7.99371e-06,	9.72866e-06,	2.7793e-06,	1.1382e-05
5.8491e-06,	6.99965e-06,	2.05886e-06,	8.19834e-06
4.09563e-06,	4.85988e-06,	1.67933e-06,	5.69737e-06
4.3016e-06,	5.22573e-06,	1.55232e-06,	6.11448e-06
3.56572e-06,	4.39178e-06,	1.21319e-06,	5.13768e-06
2.56476e-06,	3.22375e-06,	7.7999e-07,	3.77666e-06
2.0898e-06,	2.53241e-06,	7.90615e-07,	2.96281e-06
1.98559e-06,	2.44249e-06,	7.22865e-07,	2.85714e-06
1.68108e-06,	2.09679e-06,	5.37766e-07,	2.45483e-06
1.17621e-06,	1.4887e-06,	3.86995e-07,	1.74499e-06
1.05239e-06,	1.26727e-06,	4.08321e-07,	1.47981e-06
