rho,	rhou,	rhov,	rhoet
0.42551,	0.180805,	0.42842,	0.517532
0.41532,	0.200443,	0.373803,	0.510681
0.390147,	0.196334,	0.336724,	0.484875
0.358712,	0.18376,	0.304788,	0.449011
0.330601,	0.172458,	0.277256,	0.414492
0.309547,	0.164758,	0.256116,	0.386522
0.296262,	0.160642,	0.242227,	0.367223
0.28916,	0.158803,	0.2349,	0.355933
0.285352,	0.157518,	0.232105,	0.349934
0.281812,	0.155368,	0.231158,	0.345692
0.27707,	0.152168,	0.230034,	0.340877
0.271169,	0.148579,	0.227819,	0.33477
0.265054,	0.145535,	0.22458,	0.327922
0.259885,	0.143752,	0.220992,	0.321509
0.256473,	0.143423,	0.217886,	0.316658
0.254907,	0.144166,	0.21584,	0.31389
0.254572,	0.14526,	0.214941,	0.312907
0.254398,	0.145918,	0.214744,	0.312713
0.253567,	0.145784,	0.214624,	0.312288
0.251793,	0.144959,	0.214072,	0.311011
0.249311,	0.143855,	0.212876,	0.308815
0.246696,	0.142984,	0.211178,	0.30613
0.244564,	0.142705,	0.209353,	0.303614
0.243274,	0.143069,	0.207815,	0.301821
0.242818,	0.143863,	0.206847,	0.300985
0.242801,	0.144673,	0.206451,	0.300884
0.242632,	0.145088,	0.206349,	0.30095
0.241913,	0.144961,	0.206182,	0.300654
0.240351,	0.144413,	0.205666,	0.299573
0.238356,	0.143732,	0.20472,	0.297876
0.236454,	0.143265,	0.203479,	0.295975
0.235033,	0.143213,	0.202215,	0.294314
0.234271,	0.143567,	0.201204,	0.293229
0.234063,	0.144124,	0.200594,	0.292791
0.234043,	0.144562,	0.200324,	0.292744
0.233808,	0.144639,	0.200174,	0.29268
0.233119,	0.144291,	0.199886,	0.29224
0.231999,	0.143698,	0.199301,	0.291303
0.230676,	0.143117,	0.198412,	0.28999
0.229459,	0.142783,	0.197363,	0.288598
0.228586,	0.142794,	0.196369,	0.287447
0.228104,	0.143074,	0.195612,	0.286723
0.227861,	0.14342,	0.195154,	0.286392
0.227542,	0.143566,	0.194881,	0.28618
0.226908,	0.143395,	0.194597,	0.285784
0.225891,	0.142959,	0.194127,	0.285017
0.224624,	0.142441,	0.193402,	0.283885
0.223345,	0.142044,	0.192474,	0.282568
0.222288,	0.141905,	0.1915,	0.281333
0.221567,	0.142028,	0.190659,	0.280401
0.221109,	0.142263,	0.19005,	0.279817
0.220682,	0.142402,	0.189631,	0.279416
0.220046,	0.142278,	0.189252,	0.278934
0.219116,	0.14192,	0.188766,	0.278189
0.217939,	0.141432,	0.188067,	0.277116
0.216698,	0.140996,	0.187167,	0.275827
0.215612,	0.140769,	0.186189,	0.274559
0.214792,	0.140761,	0.185289,	0.273507
0.214203,	0.140881,	0.184573,	0.272748
0.21364,	0.140911,	0.184015,	0.272146
0.212927,	0.140749,	0.183517,	0.271506
0.211961,	0.140364,	0.182931,	0.270639
0.210782,	0.139858,	0.182157,	0.269482
0.209556,	0.139403,	0.181207,	0.268142
0.208456,	0.139106,	0.180181,	0.266809
0.20758,	0.139001,	0.179223,	0.265663
0.206863,	0.138968,	0.178413,	0.264739
0.206146,	0.138856,	0.17773,	0.263925
0.205277,	0.138556,	0.177071,	0.263038
0.204197,	0.138082,	0.17631,	0.261935
0.202968,	0.13754,	0.175385,	0.260601
0.201739,	0.137052,	0.174322,	0.259145
0.200643,	0.136701,	0.173225,	0.257737
0.199718,	0.136475,	0.172207,	0.256496
0.198867,	0.136256,	0.171301,	0.255391
0.197955,	0.135918,	0.17046,	0.254302
0.196901,	0.135436,	0.169587,	0.253093
0.195705,	0.134846,	0.168602,	0.251701
0.194452,	0.134242,	0.167492,	0.250157
0.193245,	0.133708,	0.166315,	0.248577
0.192145,	0.133267,	0.165158,	0.247074
0.191093,	0.132851,	0.16407,	0.245653
0.189975,	0.132373,	0.163034,	0.244232
0.188787,	0.131794,	0.161992,	0.242754
0.187517,	0.131116,	0.160884,	0.241166
0.186208,	0.130399,	0.159691,	0.239467
0.184923,	0.1297,	0.158441,	0.237721
0.183699,	0.129039,	0.157186,	0.235995
0.182522,	0.128388,	0.155965,	0.23432
0.181339,	0.127694,	0.154769,	0.232652
0.180119,	0.126939,	0.153569,	0.230949
0.178847,	0.126122,	0.152333,	0.229175
0.177543,	0.125264,	0.151048,	0.227326
0.176238,	0.124399,	0.14973,	0.225436
0.174954,	0.123547,	0.14841,	0.22355
0.173677,	0.12268,	0.147099,	0.22167
0.172393,	0.121793,	0.145795,	0.219784
0.17109,	0.120869,	0.144487,	0.21788
0.169761,	0.119904,	0.143158,	0.215932
0.16842,	0.11892,	0.141812,	0.213951
0.167075,	0.117925,	0.140454,	0.211952
0.165738,	0.116928,	0.139098,	0.209955
0.1644,	0.115913,	0.137744,	0.20795
0.163061,	0.114888,	0.136393,	0.205944
0.161723,	0.113854,	0.135042,	0.203937
0.160383,	0.112808,	0.133688,	0.201921
0.159043,	0.111748,	0.132333,	0.199896
0.157705,	0.110674,	0.130981,	0.19787
0.156375,	0.109597,	0.129636,	0.195849
0.155052,	0.108521,	0.128295,	0.193833
0.153739,	0.107454,	0.126961,	0.191833
0.152433,	0.106375,	0.125634,	0.189838
0.151134,	0.105295,	0.124314,	0.187848
0.149842,	0.104218,	0.123005,	0.185869
0.148558,	0.103138,	0.121709,	0.183905
