rho,	rhou,	rhov,	rhoet
0.136505,	0.124274,	0.0693652,	0.152023
0.107105,	0.0983904,	0.0495847,	0.120938
0.0824907,	0.0760036,	0.0371579,	0.0941445
0.0632433,	0.0589437,	0.0282701,	0.0724323
0.0661611,	0.0614113,	0.0288077,	0.0738554
0.0640805,	0.0592516,	0.0287397,	0.0720693
0.0587014,	0.054079,	0.0270988,	0.0665789
0.0514521,	0.0479049,	0.0244127,	0.0588042
0.0532872,	0.0494959,	0.0232867,	0.059459
0.0528518,	0.0489742,	0.0236466,	0.0592761
0.0506013,	0.0467108,	0.0231393,	0.0570886
0.0467388,	0.04299,	0.021895,	0.0530648
0.047007,	0.0436565,	0.0206735,	0.0525106
0.0470306,	0.0436279,	0.0209952,	0.0526678
0.0459343,	0.0424717,	0.0208465,	0.0516645
0.0436029,	0.0401826,	0.0201987,	0.0493004
0.0431015,	0.0400945,	0.0190631,	0.0480277
0.043301,	0.040206,	0.0193345,	0.0484784
0.0427546,	0.0395872,	0.0193077,	0.0479952
0.0412751,	0.0381003,	0.018955,	0.0465371
0.0404235,	0.0375907,	0.0182189,	0.0450783
0.0406574,	0.0377688,	0.0181501,	0.0454986
0.0403967,	0.0374443,	0.0181841,	0.0452968
0.0394407,	0.0364569,	0.0179914,	0.0443774
0.0383434,	0.0356074,	0.0175064,	0.0427698
0.0386506,	0.0359111,	0.0172517,	0.0432285
0.0385511,	0.0357628,	0.0173172,	0.0431955
0.0379293,	0.035101,	0.0172153,	0.0426151
0.0367377,	0.0341587,	0.0168935,	0.0413939
0.0370528,	0.0344257,	0.0165352,	0.0414146
0.0370505,	0.0343915,	0.0166205,	0.0414942
0.0366519,	0.0339503,	0.0165722,	0.0411293
0.0357757,	0.0330605,	0.0163587,	0.0402467
0.0357359,	0.0331993,	0.0159452,	0.039955
0.0357942,	0.0332394,	0.016037,	0.0400735
0.0355415,	0.032947,	0.0160295,	0.0398502
0.0348988,	0.0322827,	0.015886,	0.0392132
0.0346041,	0.0321779,	0.0155801,	0.0386597
0.0347175,	0.0322484,	0.0155449,	0.0388582
0.0345659,	0.0320564,	0.0155603,	0.0387338
0.0340968,	0.031566,	0.015466,	0.0382695
0.0336569,	0.0312917,	0.0152369,	0.0375696
0.0337775,	0.0313802,	0.0151168,	0.0377992
0.0336991,	0.0312627,	0.0151442,	0.0377402
0.0333532,	0.0308944,	0.0150859,	0.0374055
0.0327979,	0.0304643,	0.0149165,	0.0367599
0.0329451,	0.0306088,	0.0147324,	0.0368438
0.0329145,	0.0305444,	0.0147745,	0.0368455
0.0326618,	0.0302719,	0.0147388,	0.0366
0.0321816,	0.0297761,	0.0146147,	0.0361038
0.0321971,	0.0299136,	0.0143951,	0.0359605
0.0321972,	0.0298856,	0.014443,	0.0360306
0.0320153,	0.0296816,	0.0144229,	0.0358553
0.0316404,	0.0292969,	0.0143328,	0.0354726
0.0315122,	0.0292723,	0.0141581,	0.0351826
0.0315367,	0.0292774,	0.0141388,	0.0352807
0.0314161,	0.0291306,	0.0141318,	0.0351653
0.0311261,	0.0288301,	0.0140645,	0.0348672
0.0308721,	0.0286601,	0.0139289,	0.0344731
0.0309243,	0.0287123,	0.0138568,	0.0345677
0.0308485,	0.0286134,	0.0138632,	0.034516
0.0306248,	0.0283767,	0.0138149,	0.034286
0.0302872,	0.0281013,	0.0137104,	0.0339067
0.0303523,	0.0281836,	0.0135983,	0.0338988
0.0303094,	0.0281214,	0.0136124,	0.0339022
0.0301513,	0.0279425,	0.0135794,	0.0337376
0.0298653,	0.0276523,	0.0134971,	0.0334317
0.029819,	0.0276813,	0.0133679,	0.0332882
0.0298133,	0.0276521,	0.0133766,	0.033319
0.0296878,	0.0275249,	0.0133553,	0.0332065
0.0294685,	0.027289,	0.0132965,	0.0329719
0.0293322,	0.0271951,	0.0131908,	0.0327203
0.0293359,	0.027203,	0.0131535,	0.0327502
0.0292561,	0.0271162,	0.0131424,	0.0326918
0.0290798,	0.0269435,	0.0131002,	0.0325223
0.0288719,	0.0267363,	0.0130213,	0.0322442
0.0288825,	0.0267728,	0.0129437,	0.032222
0.0288408,	0.0267372,	0.0129389,	0.0321956
0.0287082,	0.0265947,	0.0129116,	0.0320875
0.028505,	0.0263963,	0.0128527,	0.031872
0.0284529,	0.0263673,	0.0127622,	0.0317361
0.0284369,	0.0263706,	0.0127534,	0.0317288
0.0283461,	0.0262713,	0.0127381,	0.0316715
0.0281882,	0.0261033,	0.0126914,	0.0315046
0.0280486,	0.0259926,	0.0126184,	0.0312716
0.0280405,	0.0260049,	0.012578,	0.0312899
0.0279867,	0.0259489,	0.0125691,	0.0312561
0.0278748,	0.0258283,	0.0125371,	0.0311475
0.0277077,	0.0256513,	0.0124825,	0.0309613
0.027689,	0.0256496,	0.0124108,	0.0308659
0.0276548,	0.0256272,	0.0124055,	0.0308465
0.0275756,	0.0255442,	0.0123835,	0.0307842
0.0274358,	0.0254169,	0.0123442,	0.0306515
0.0273488,	0.0253208,	0.0122869,	0.0304644
0.0273262,	0.0253171,	0.0122517,	0.0304789
0.0272797,	0.0252837,	0.0122438,	0.0304323
0.0271807,	0.0251778,	0.0122167,	0.0303489
0.0270392,	0.0250395,	0.0121684,	0.030196
0.0270142,	0.0250213,	0.0121115,	0.0301239
0.026978,	0.0250123,	0.0121072,	0.0300937
0.0269129,	0.0249446,	0.0120889,	0.0300444
0.0268128,	0.0248376,	0.0120543,	0.0299416
0.0267244,	0.0247348,	0.0120052,	0.0297859
0.0267083,	0.0247356,	0.0119724,	0.0297683
0.0266658,	0.0247001,	0.0119636,	0.0297369
0.0265905,	0.0246281,	0.011942,	0.0296641
0.0264743,	0.0245199,	0.0119031,	0.0295531
0.0264354,	0.0244872,	0.0118519,	0.0294644
0.0264069,	0.0244728,	0.011849,	0.029456
0.0263596,	0.0244317,	0.0118341,	0.0294058
0.0262783,	0.0243432,	0.0118062,	0.029329
0.026179,	0.0242413,	0.0117646,	0.0292065
0.026178,	0.0242348,	0.011733,	0.0291659
0.0261384,	0.0242144,	0.0117239,	0.0291438
0.0260805,	0.0241536,	0.0117069,	0.0290821
0.0259873,	0.0240644,	0.0116755,	0.0289952
0.0259403,	0.0240238,	0.0116289,	0.0288922
0.0259135,	0.0240048,	0.0116251,	0.0289005
