rho,	rhou,	rhov,	rhoet
1.31056,	1.17833,	0.750102,	1.50125
1.05041,	0.953481,	0.54903,	1.21498
0.908551,	0.828318,	0.45392,	1.04968
0.830809,	0.75821,	0.410395,	0.957214
0.780822,	0.712289,	0.387394,	0.898408
0.743504,	0.677785,	0.371666,	0.854895
0.714315,	0.65083,	0.359276,	0.820787
0.691119,	0.62947,	0.349114,	0.79363
0.672119,	0.612019,	0.340539,	0.771435
0.656079,	0.597325,	0.333092,	0.752745
0.64226,	0.584696,	0.326512,	0.736665
0.630159,	0.573656,	0.320636,	0.722603
0.619398,	0.56385,	0.315336,	0.710116
0.609713,	0.555035,	0.310516,	0.698891
0.600913,	0.547029,	0.306102,	0.688699
0.592852,	0.539698,	0.302036,	0.67937
0.585414,	0.532936,	0.29827,	0.670769
0.578512,	0.526662,	0.294764,	0.662791
0.572077,	0.520813,	0.291487,	0.655355
0.566048,	0.515333,	0.288412,	0.648391
0.560377,	0.510178,	0.285515,	0.641841
0.555026,	0.505313,	0.282777,	0.635663
0.549959,	0.500707,	0.280183,	0.629813
0.545149,	0.496333,	0.277717,	0.62426
0.540569,	0.492168,	0.275367,	0.618973
0.536199,	0.488192,	0.273123,	0.613927
0.532019,	0.48439,	0.270975,	0.609103
0.528013,	0.480745,	0.268915,	0.604478
0.524167,	0.477244,	0.266936,	0.600036
0.520466,	0.473876,	0.26503,	0.595763
0.5169,	0.470628,	0.263193,	0.591644
0.513459,	0.467494,	0.261419,	0.587669
0.510133,	0.464464,	0.259703,	0.583827
0.506912,	0.46153,	0.258041,	0.580106
0.503792,	0.458687,	0.25643,	0.576501
0.500764,	0.455926,	0.254865,	0.573
0.497821,	0.453243,	0.253344,	0.569599
0.49496,	0.450634,	0.251864,	0.566291
0.492173,	0.448091,	0.250423,	0.563068
0.489456,	0.445612,	0.249017,	0.559926
0.486806,	0.443194,	0.247644,	0.556861
0.484218,	0.440831,	0.246304,	0.553866
0.481688,	0.43852,	0.244993,	0.550938
0.479212,	0.436259,	0.24371,	0.548073
0.476789,	0.434045,	0.242453,	0.545268
0.474414,	0.431874,	0.241221,	0.542518
0.472085,	0.429745,	0.240012,	0.539821
0.469799,	0.427655,	0.238826,	0.537173
0.467555,	0.425602,	0.23766,	0.534573
0.465349,	0.423585,	0.236515,	0.532018
0.46318,	0.4216,	0.235388,	0.529504
0.461047,	0.419647,	0.234279,	0.527031
0.458946,	0.417725,	0.233187,	0.524596
0.456877,	0.41583,	0.232112,	0.522197
0.454838,	0.413962,	0.231051,	0.519832
0.452827,	0.41212,	0.230005,	0.5175
0.450843,	0.410301,	0.228972,	0.515198
0.448884,	0.408506,	0.227953,	0.512925
0.446949,	0.406732,	0.226946,	0.51068
0.445038,	0.404979,	0.22595,	0.508461
0.443148,	0.403245,	0.224966,	0.506267
0.441278,	0.40153,	0.223992,	0.504097
0.439429,	0.399833,	0.223029,	0.50195
0.437598,	0.398153,	0.222075,	0.499824
0.435785,	0.396489,	0.22113,	0.497718
0.433989,	0.39484,	0.220194,	0.495632
0.432209,	0.393205,	0.219266,	0.493564
0.430444,	0.391584,	0.218345,	0.491515
0.428694,	0.389977,	0.217433,	0.489481
0.426958,	0.388382,	0.216527,	0.487464
0.425235,	0.386799,	0.215628,	0.485462
0.423525,	0.385226,	0.214736,	0.483474
0.421826,	0.383665,	0.213849,	0.481499
0.420139,	0.382114,	0.212968,	0.479538
0.418462,	0.380572,	0.212093,	0.477589
0.416795,	0.379039,	0.211223,	0.475651
0.415138,	0.377515,	0.210357,	0.473724
0.41349,	0.375999,	0.209496,	0.471808
0.41185,	0.37449,	0.20864,	0.469901
0.410218,	0.372989,	0.207787,	0.468003
0.408593,	0.371494,	0.206938,	0.466114
0.406976,	0.370005,	0.206093,	0.464233
0.405365,	0.368523,	0.205251,	0.462359
0.40376,	0.367046,	0.204412,	0.460492
0.402161,	0.365574,	0.203576,	0.458632
0.400567,	0.364106,	0.202743,	0.456778
0.398978,	0.362643,	0.201912,	0.45493
0.397393,	0.361184,	0.201083,	0.453086
0.395813,	0.359728,	0.200256,	0.451247
0.394236,	0.358276,	0.199431,	0.449412
0.392662,	0.356826,	0.198608,	0.447581
0.391091,	0.355379,	0.197786,	0.445754
0.389523,	0.353935,	0.196965,	0.443929
0.387957,	0.352492,	0.196146,	0.442107
0.386393,	0.351051,	0.195327,	0.440287
0.384831,	0.349612,	0.194509,	0.438469
0.38327,	0.348173,	0.193691,	0.436652
0.38171,	0.346736,	0.192874,	0.434836
0.380151,	0.345299,	0.192057,	0.433021
0.378591,	0.343862,	0.191241,	0.431206
0.377033,	0.342425,	0.190424,	0.429392
0.375473,	0.340988,	0.189607,	0.427577
0.373914,	0.33955,	0.188789,	0.425761
0.372353,	0.338111,	0.187971,	0.423944
0.370792,	0.336672,	0.187152,	0.422126
0.369229,	0.335231,	0.186333,	0.420306
0.367664,	0.333788,	0.185512,	0.418485
0.366098,	0.332344,	0.184691,	0.416661
0.36453,	0.330897,	0.183868,	0.414834
0.362959,	0.329448,	0.183044,	0.413005
0.361385,	0.327997,	0.182218,	0.411172
0.359809,	0.326543,	0.18139,	0.409336
0.358229,	0.325086,	0.180561,	0.407496
0.356646,	0.323625,	0.17973,	0.405652
0.355059,	0.322162,	0.178897,	0.403803
0.353469,	0.320694,	0.178061,	0.40195
0.351875,	0.319223,	0.177224,	0.400092
0.350276,	0.317748,	0.176384,	0.398229
0.348673,	0.316268,	0.175541,	0.396361
0.347065,	0.314784,	0.174696,	0.394487
0.345452,	0.313296,	0.173848,	0.392607
0.343835,	0.311803,	0.172997,	0.390721
0.342212,	0.310304,	0.172144,	0.388829
0.340583,	0.308801,	0.171287,	0.38693
0.338949,	0.307292,	0.170427,	0.385025
0.337309,	0.305777,	0.169564,	0.383112
0.335663,	0.304257,	0.168697,	0.381192
0.334011,	0.302731,	0.167827,	0.379264
0.332352,	0.301199,	0.166954,	0.377329
0.330686,	0.29966,	0.166076,	0.375386
0.329014,	0.298115,	0.165195,	0.373434
0.327334,	0.296563,	0.16431,	0.371474
0.325647,	0.295004,	0.163421,	0.369505
0.323953,	0.293439,	0.162527,	0.367527
0.322251,	0.291866,	0.16163,	0.36554
0.320541,	0.290285,	0.160728,	0.363544
0.318823,	0.288697,	0.159821,	0.361537
0.317097,	0.287101,	0.15891,	0.359521
0.315362,	0.285497,	0.157994,	0.357495
0.313619,	0.283885,	0.157074,	0.355459
0.311867,	0.282265,	0.156148,	0.353411
0.310106,	0.280637,	0.155217,	0.351354
0.308336,	0.278999,	0.154282,	0.349285
0.306556,	0.277353,	0.153341,	0.347205
0.304767,	0.275698,	0.152395,	0.345114
0.302969,	0.274034,	0.151443,	0.343011
0.30116,	0.272361,	0.150486,	0.340897
0.299342,	0.270679,	0.149523,	0.33877
0.297513,	0.268986,	0.148554,	0.336632
0.295674,	0.267284,	0.14758,	0.33448
0.293824,	0.265573,	0.146599,	0.332317
0.291963,	0.263851,	0.145612,	0.33014
0.290091,	0.262118,	0.144619,	0.327951
0.288208,	0.260376,	0.14362,	0.325748
0.286314,	0.258623,	0.142614,	0.323531
