rho,	rhou,	rhov,	rhoet
0.0272557,	0.0206478,	0.018155,	0.030354
0.0273136,	0.0203298,	0.0177144,	0.029548
0.0280977,	0.0214576,	0.0174252,	0.0305666
0.0269077,	0.0204787,	0.0170203,	0.0295142
0.0266994,	0.0203155,	0.0168014,	0.0294418
0.0263478,	0.0203795,	0.0165617,	0.0302887
0.026496,	0.0203797,	0.0162011,	0.0296196
0.0261406,	0.0201457,	0.0158762,	0.0292363
0.0257069,	0.0198059,	0.015526,	0.0287313
0.0252376,	0.0194946,	0.0151599,	0.0284512
0.024663,	0.0192272,	0.0148873,	0.0280648
0.0242,	0.018901,	0.0145946,	0.0276513
0.0237388,	0.018707,	0.0142712,	0.0274141
0.0233629,	0.0184683,	0.0140379,	0.0276785
0.0234002,	0.0188454,	0.0143545,	0.0277473
0.0228504,	0.0180142,	0.013864,	0.0265548
0.022329,	0.0177146,	0.013518,	0.0261734
0.0218551,	0.0173708,	0.0131497,	0.0257014
0.0214121,	0.0170764,	0.0128984,	0.0252196
0.0210482,	0.0168671,	0.0126326,	0.0249558
0.0206583,	0.0165788,	0.012339,	0.0245864
0.0202523,	0.0162599,	0.0121139,	0.0243622
0.0199728,	0.0162562,	0.011908,	0.0241855
0.0195048,	0.0156824,	0.0116922,	0.0234418
0.0190894,	0.0153581,	0.0115771,	0.0229805
0.0185448,	0.0149724,	0.0111576,	0.0223446
0.0180165,	0.0146015,	0.0108048,	0.0218173
0.0175762,	0.0143222,	0.0104779,	0.0214325
0.0170193,	0.0138912,	0.0101545,	0.0208518
0.0164544,	0.0134417,	0.00990537,	0.0202576
0.0160395,	0.013131,	0.00960189,	0.0197937
0.015523,	0.0127447,	0.00933552,	0.0191717
0.0150473,	0.0130949,	0.00906359,	0.0186524
0.0166161,	0.0155463,	0.0087716,	0.0187067
0.0154656,	0.0128943,	0.00848959,	0.0175954
0.0159258,	0.0132349,	0.00823289,	0.0171612
0.0163221,	0.0135912,	0.00798748,	0.0171372
0.0166565,	0.0139468,	0.00776579,	0.0176699
0.01693,	0.0142968,	0.00799723,	0.0181898
0.0173133,	0.0146118,	0.00829131,	0.0186294
0.0178668,	0.0150677,	0.0085668,	0.0190354
0.0179508,	0.0151088,	0.00880182,	0.0193802
0.0187066,	0.0164303,	0.00900368,	0.0235104
0.0184419,	0.0161727,	0.0131691,	0.0207656
0.020963,	0.0180228,	0.00949014,	0.0231725
0.0220967,	0.0209445,	0.0135987,	0.0224863
0.0202769,	0.0158304,	0.00991531,	0.0210215
0.0189471,	0.0175654,	0.0126465,	0.0225427
0.0222277,	0.0177184,	0.0101483,	0.0261508
0.019336,	0.0161206,	0.0126182,	0.0216008
0.0197957,	0.0166575,	0.0112231,	0.0216581
0.0200169,	0.0168119,	0.0113714,	0.0218988
0.0202387,	0.0169858,	0.0114371,	0.0222087
0.021962,	0.0172493,	0.0112827,	0.0226922
0.0207533,	0.0172719,	0.0114018,	0.0229063
0.0209296,	0.0174695,	0.0113714,	0.023352
0.0210778,	0.0176341,	0.0113224,	0.0237303
0.0211756,	0.0178208,	0.0112733,	0.0241628
0.0212965,	0.0180863,	0.0112003,	0.0245492
0.0214859,	0.0182692,	0.0111076,	0.02487
0.0211951,	0.0179789,	0.0110222,	0.0248187
0.0209897,	0.0179349,	0.011003,	0.0248812
0.020587,	0.0175887,	0.0109599,	0.0245385
0.0201505,	0.0172086,	0.010891,	0.0241407
0.019685,	0.0167998,	0.0107861,	0.0236889
0.0191872,	0.0163272,	0.0106514,	0.0230666
0.0186509,	0.015811,	0.0104881,	0.0225096
0.0181773,	0.0154018,	0.010308,	0.0221399
0.0177381,	0.0150476,	0.0101516,	0.0217367
0.0173032,	0.0146812,	0.010026,	0.021302
0.0168882,	0.014331,	0.00987247,	0.0208854
0.0164484,	0.0139518,	0.00971537,	0.0204275
0.0159702,	0.0135302,	0.00957106,	0.019902
