rho,	rhou,	rhov,	rhoet
0.123617,	0.0911789,	0.0893721,	0.14159
0.123274,	0.0918963,	0.0864362,	0.141182
0.122979,	0.0925032,	0.0839507,	0.140834
0.122719,	0.0930132,	0.0818362,	0.14053
0.122507,	0.0934574,	0.0800364,	0.140279
0.122407,	0.0939109,	0.0785256,	0.140141
0.122425,	0.0943851,	0.0772714,	0.140117
0.122711,	0.0950237,	0.0762969,	0.140357
0.122284,	0.0949658,	0.0752546,	0.139906
0.121205,	0.0942887,	0.0741021,	0.138804
0.119607,	0.0931254,	0.0728378,	0.137164
0.1176,	0.0915854,	0.0714685,	0.135087
0.115294,	0.0897754,	0.0700102,	0.132672
0.112779,	0.0877808,	0.0684802,	0.130006
0.110139,	0.0856779,	0.0668998,	0.127169
0.10744,	0.0835271,	0.0652904,	0.124231
0.10475,	0.0813889,	0.0636759,	0.12126
0.102131,	0.0793183,	0.0620805,	0.118323
0.0996332,	0.077358,	0.0605263,	0.115474
0.0972958,	0.0755407,	0.059034,	0.112758
0.0951534,	0.0738941,	0.057623,	0.110218
0.0932335,	0.0724393,	0.0563107,	0.107888
0.0915596,	0.0711945,	0.055113,	0.105799
0.0901387,	0.070162,	0.0540409,	0.103966
0.0889799,	0.069347,	0.0531048,	0.102405
0.0880999,	0.0687628,	0.0523155,	0.101139
0.0874669,	0.0683766,	0.0516708,	0.100146
0.0870592,	0.0681662,	0.0511685,	0.0994111
0.0868852,	0.0681393,	0.0508124,	0.0989435
0.0869155,	0.0682683,	0.0505947,	0.0987178
0.0871496,	0.0685534,	0.0505137,	0.0987329
0.087569,	0.0689781,	0.0505622,	0.0989707
0.0881844,	0.0695543,	0.0507388,	0.0994373
0.0889638,	0.0702549,	0.051029,	0.1001
0.0896967,	0.0708876,	0.0513658,	0.100762
0.0903177,	0.0713969,	0.0517182,	0.101354
0.0907914,	0.0717564,	0.0520619,	0.101835
0.0910935,	0.0719492,	0.0523757,	0.10217
0.0912097,	0.0719677,	0.0526417,	0.102339
0.0911343,	0.0718114,	0.0528462,	0.102326
0.0908693,	0.0714862,	0.0529788,	0.102126
0.0904227,	0.0710028,	0.0530335,	0.101741
0.0898077,	0.070376,	0.0530073,	0.101178
0.0890419,	0.0696237,	0.0529007,	0.100449
0.0881462,	0.0687667,	0.0527169,	0.0995729
