rho,	rhou,	rhov,	rhoet
0.0118148,	0.0101661,	0.00935026,	0.0145681
0.0153109,	0.0133954,	0.0111145,	0.0185029
0.0146432,	0.0128099,	0.0106876,	0.0177867
0.0139822,	0.0122305,	0.0102553,	0.0170654
0.0133319,	0.0116607,	0.0098212,	0.0163452
0.0126951,	0.011103,	0.00938864,	0.0156306
0.0120742,	0.0105595,	0.00896044,	0.0149255
0.011471,	0.0100315,	0.00853899,	0.0142331
0.0108869,	0.00952034,	0.00812623,	0.0135561
0.010323,	0.00902677,	0.0077238,	0.0128966
0.00977989,	0.00855137,	0.00733295,	0.0122563
0.00925214,	0.00808886,	0.00695657,	0.0116311
0.00875545,	0.00765448,	0.00658398,	0.011037
0.00828459,	0.00723992,	0.00622709,	0.0104647
0.00783838,	0.00690558,	0.00588535,	0.00991703
0.00742049,	0.0066329,	0.00561106,	0.00949428
0.00738956,	0.00669389,	0.00535204,	0.00910341
0.0075281,	0.00679554,	0.00509172,	0.00894465
0.00762879,	0.00686513,	0.00507406,	0.00909572
0.00769533,	0.00690671,	0.00517341,	0.00920838
0.00778534,	0.00697149,	0.00529156,	0.00935426
0.00785307,	0.00701782,	0.00539516,	0.00947543
0.00786693,	0.00701709,	0.00545882,	0.00953073
0.00783457,	0.00697558,	0.0054893,	0.00952824
0.00776478,	0.00690154,	0.00549075,	0.00947836
0.00766433,	0.00680119,	0.00546707,	0.00938912
0.0075542,	0.00668957,	0.00548771,	0.0092805
0.00741162,	0.00654909,	0.00545163,	0.00913015
0.007264,	0.00642358,	0.00532333,	0.00898682
0.00708687,	0.0062643,	0.00516675,	0.00878126
0.00693562,	0.0061116,	0.0049846,	0.00858459
0.00673585,	0.00595733,	0.00491859,	0.00832231
0.00655798,	0.00590244,	0.00481239,	0.00815494
0.00664138,	0.00609066,	0.00464662,	0.00803567
0.00679049,	0.00621933,	0.00449282,	0.00804289
0.00689301,	0.00629751,	0.00449944,	0.00818925
0.00695597,	0.00633355,	0.00458811,	0.00828401
0.0069914,	0.00634579,	0.00465503,	0.00834777
0.00700263,	0.00633765,	0.00470332,	0.00838399
0.00699295,	0.00631243,	0.00473492,	0.00839627
0.00696332,	0.00627043,	0.00475248,	0.0083847
0.00691594,	0.00621387,	0.00475733,	0.00835181
0.00685494,	0.006147,	0.00474927,	0.00830267
0.00678007,	0.00606884,	0.00473043,	0.00823619
0.00669308,	0.00598084,	0.00470228,	0.00815424
0.0066012,	0.00588606,	0.00469924,	0.00806359
0.00649682,	0.0057888,	0.00467922,	0.00796052
0.00640638,	0.00570344,	0.00460086,	0.0078478
0.00631153,	0.00561964,	0.00454373,	0.00775723
0.00620668,	0.0055184,	0.00446506,	0.00762365
0.00608942,	0.00539721,	0.00435326,	0.00744775
0.00596996,	0.00533244,	0.00423519,	0.00731744
