rho,	rhou,	rhov,	rhoet
0.0711151,	0.0648299,	0.0364989,	0.0794483
0.0696738,	0.0634762,	0.0357917,	0.0780666
0.0681498,	0.0620496,	0.0350566,	0.076581
0.0665732,	0.0605787,	0.0342966,	0.0750182
0.0649702,	0.0590882,	0.0335165,	0.0734027
0.0633634,	0.0575995,	0.0327217,	0.0717571
0.0617722,	0.0561304,	0.0319179,	0.0701012
0.0602128,	0.054696,	0.0311113,	0.0684529
0.0586986,	0.0533082,	0.0303081,	0.0668277
0.0572405,	0.0519767,	0.029514,	0.0652392
0.0558472,	0.0507089,	0.028735,	0.0636991
0.0545251,	0.04951,	0.0279764,	0.062217
0.053279,	0.0483837,	0.0272431,	0.0608008
0.0521115,	0.0473317,	0.0265394,	0.0594566
0.051024,	0.0463544,	0.0258692,	0.0581889
0.0500162,	0.0454509,	0.0252355,	0.0570004
0.0490865,	0.0446191,	0.0246408,	0.0558924
0.0482321,	0.0438559,	0.0240866,	0.0548645
0.0474495,	0.0431574,	0.0235739,	0.0539151
0.0467341,	0.042519,	0.0231028,	0.0530414
0.0460807,	0.0419356,	0.0226728,	0.0522395
0.0454839,	0.041402,	0.0222825,	0.0515047
0.0449379,	0.0409127,	0.0219302,	0.0508317
0.0444368,	0.0404623,	0.0216135,	0.0502147
0.0439749,	0.0400456,	0.0213298,	0.0496478
0.0435468,	0.0396577,	0.0210759,	0.049125
0.0431474,	0.039294,	0.0208488,	0.0486405
0.0427722,	0.0389505,	0.0206451,	0.0481887
0.0424168,	0.0386237,	0.0204617,	0.0477646
0.042078,	0.0383106,	0.0202954,	0.0473635
0.0417526,	0.0380087,	0.0201434,	0.0469814
0.0414383,	0.0377161,	0.0200028,	0.0466149
0.0411331,	0.0374313,	0.0198715,	0.0462611
0.0408359,	0.0371534,	0.0197472,	0.0459177
0.0405455,	0.0368816,	0.0196282,	0.0455831
0.0402616,	0.0366157,	0.0195131,	0.0452561
0.0399838,	0.0363556,	0.0194007,	0.0449359
0.0397121,	0.0361016,	0.0192903,	0.0446221
0.0394469,	0.0358539,	0.0191811,	0.0443148
0.0391884,	0.035613,	0.0190729,	0.044014
0.0389371,	0.0353792,	0.0189655,	0.0437201
0.0386934,	0.035153,	0.0188589,	0.0434337
0.0384576,	0.0349348,	0.0187532,	0.0431551
0.0382301,	0.0347247,	0.0186485,	0.0428849
0.0380112,	0.0345231,	0.0185453,	0.0426235
0.0378009,	0.0343299,	0.0184438,	0.0423713
0.0375992,	0.034145,	0.0183442,	0.0421284
0.0374059,	0.0339682,	0.0182469,	0.0418951
0.0372204,	0.0337987,	0.0181521,	0.0416707
0.0370426,	0.0336366,	0.01806,	0.0414556
0.0368723,	0.0334815,	0.0179708,	0.0412493
0.0367088,	0.0333326,	0.0178845,	0.0410516
0.0365513,	0.0331893,	0.0178011,	0.0408616
0.0363992,	0.033051,	0.0177205,	0.0406788
0.0362519,	0.0329168,	0.0176427,	0.0405023
0.0361085,	0.0327862,	0.0175674,	0.0403315
0.0359683,	0.0326585,	0.0174944,	0.0401655
0.0358307,	0.0325329,	0.0174234,	0.0400035
0.035695,	0.0324088,	0.017354,	0.0398445
0.0355608,	0.032286,	0.0172861,	0.0396883
0.0354278,	0.0321642,	0.0172193,	0.039534
0.0352956,	0.032043,	0.0171533,	0.0393813
0.0351639,	0.0319223,	0.0170878,	0.0392296
0.0350326,	0.0318018,	0.0170227,	0.0390786
0.0349016,	0.0316816,	0.0169577,	0.0389282
0.034771,	0.0315617,	0.0168927,	0.0387781
0.0346407,	0.0314421,	0.0168274,	0.0386283
0.0345109,	0.0313232,	0.016762,	0.0384789
0.0343818,	0.0312049,	0.0166963,	0.0383301
0.0342537,	0.0310876,	0.0166303,	0.0381818
0.0341264,	0.0309712,	0.0165641,	0.0380344
0.0339999,	0.0308555,	0.0164976,	0.0378876
0.0338749,	0.0307413,	0.0164312,	0.0377421
0.0337517,	0.030629,	0.0163649,	0.0375983
0.0336305,	0.0305185,	0.0162988,	0.0374563
0.0335112,	0.03041,	0.0162331,	0.0373163
0.0333941,	0.0303034,	0.0161679,	0.0371785
0.0332789,	0.0301987,	0.0161033,	0.0370427
0.0331656,	0.0300958,	0.0160394,	0.0369092
0.0330543,	0.0299947,	0.0159764,	0.0367778
0.0329447,	0.0298951,	0.0159142,	0.0366486
0.0328368,	0.029797,	0.015853,	0.0365214
0.0327303,	0.0297001,	0.0157927,	0.0363961
0.0326249,	0.0296043,	0.0157333,	0.0362724
0.0325206,	0.0295092,	0.0156748,	0.0361501
0.0324169,	0.0294147,	0.0156172,	0.0360289
0.0323138,	0.0293206,	0.0155603,	0.0359088
0.0322111,	0.0292266,	0.015504,	0.0357893
0.0321084,	0.0291326,	0.0154484,	0.0356703
0.0320057,	0.0290385,	0.0153931,	0.0355515
0.0319029,	0.0289441,	0.0153382,	0.0354328
0.0317998,	0.0288494,	0.0152836,	0.035314
0.0316964,	0.0287544,	0.0152291,	0.035195
0.0315927,	0.0286591,	0.0151746,	0.0350757
0.0314886,	0.0285634,	0.01512,	0.0349561
0.0313843,	0.0284674,	0.0150654,	0.0348362
0.0312797,	0.0283713,	0.0150106,	0.0347159
0.031175,	0.0282751,	0.0149556,	0.0345954
0.0310703,	0.0281789,	0.0149005,	0.0344749
0.0309658,	0.028083,	0.0148452,	0.0343543
0.0308614,	0.0279872,	0.0147897,	0.0342337
0.0307574,	0.0278919,	0.0147342,	0.0341135
0.030654,	0.0277971,	0.0146785,	0.0339937
0.0305511,	0.027703,	0.014623,	0.0338745
0.0304491,	0.0276097,	0.0145675,	0.033756
0.0303478,	0.0275172,	0.0145121,	0.0336384
0.0302474,	0.0274257,	0.014457,	0.0335218
0.0301479,	0.027335,	0.0144022,	0.0334062
0.0300492,	0.0272452,	0.0143477,	0.0332916
0.0299514,	0.0271561,	0.0142937,	0.0331781
0.0298544,	0.0270679,	0.0142401,	0.0330657
0.0297581,	0.0269804,	0.014187,	0.0329543
0.0296625,	0.0268935,	0.0141343,	0.0328438
0.0295674,	0.0268071,	0.0140822,	0.0327341
0.0294726,	0.0267209,	0.0140305,	0.032625
0.029378,	0.0266349,	0.0139792,	0.0325164
0.0292836,	0.0265489,	0.0139283,	0.0324082
0.0291892,	0.0264629,	0.0138777,	0.0323001
0.0290945,	0.0263766,	0.0138273,	0.032192
0.0289995,	0.02629,	0.0137771,	0.0320836
0.0289042,	0.0262029,	0.0137269,	0.0319749
0.0288083,	0.0261152,	0.0136767,	0.0318656
0.028712,	0.026027,	0.0136264,	0.0317556
0.028615,	0.0259381,	0.0135759,	0.0316448
0.0285174,	0.0258485,	0.0135252,	0.0315331
0.0284191,	0.0257581,	0.0134741,	0.0314204
0.0283202,	0.025667,	0.0134226,	0.0313066
0.0282207,	0.0255752,	0.0133706,	0.0311918
0.0281206,	0.0254828,	0.0133182,	0.0310759
0.02802,	0.0253898,	0.0132653,	0.030959
0.0279189,	0.0252962,	0.0132119,	0.0308411
0.0278173,	0.025202,	0.0131579,	0.0307222
0.0277154,	0.0251074,	0.0131035,	0.0306024
0.027613,	0.0250122,	0.0130486,	0.0304817
0.0275102,	0.0249165,	0.0129932,	0.03036
0.027407,	0.0248203,	0.0129374,	0.0302376
0.0273035,	0.0247236,	0.0128812,	0.0301143
0.0271995,	0.0246263,	0.0128247,	0.0299902
0.0270951,	0.0245285,	0.0127677,	0.0298653
0.0269901,	0.0244299,	0.0127105,	0.0297394
0.0268844,	0.0243304,	0.0126528,	0.0296126
0.026778,	0.0242302,	0.0125949,	0.0294848
0.0266709,	0.024129,	0.0125366,	0.029356
0.0265629,	0.0240269,	0.0124779,	0.0292259
0.0264539,	0.0239236,	0.0124188,	0.0290947
0.0263437,	0.023819,	0.0123593,	0.0289619
0.0262323,	0.0237131,	0.0122993,	0.0288278
0.0261198,	0.023606,	0.0122387,	0.028692
0.026006,	0.0234975,	0.0121776,	0.0285547
0.0258909,	0.0233875,	0.0121158,	0.0284158
0.0257744,	0.0232761,	0.0120534,	0.028275
0.0256563,	0.0231631,	0.0119903,	0.0281324
0.0255369,	0.0230487,	0.0119264,	0.0279879
0.0254161,	0.0229328,	0.0118617,	0.0278417
0.025294,	0.0228155,	0.0117962,	0.0276936
0.0251706,	0.0226969,	0.0117299,	0.0275439
0.0250459,	0.022577,	0.0116629,	0.0273924
0.02492,	0.0224559,	0.0115951,	0.0272393
0.0247929,	0.0223335,	0.0115265,	0.0270846
0.0246646,	0.0222097,	0.0114572,	0.0269283
0.0245352,	0.0220848,	0.0113872,	0.0267705
0.0244047,	0.0219588,	0.0113166,	0.0266114
0.0242733,	0.0218317,	0.0112454,	0.0264509
0.0241408,	0.0217036,	0.0111737,	0.0262891
0.0240074,	0.0215743,	0.0111015,	0.026126
0.0238731,	0.021444,	0.0110289,	0.0259618
0.0237377,	0.0213125,	0.0109558,	0.0257962
0.0236013,	0.0211798,	0.0108824,	0.0256294
