rho,	rhou,	rhov,	rhoet
0.0467423,	0.0428891,	0.0225761,	0.0514352
0.0455329,	0.0420987,	0.0218059,	0.0509479
0.0421326,	0.0391257,	0.0198289,	0.0475837
0.0398647,	0.0369535,	0.0186706,	0.0451236
0.0368724,	0.0344147,	0.0170853,	0.042208
0.0342893,	0.0319428,	0.0160341,	0.039357
0.0315852,	0.0295679,	0.0146197,	0.0365358
0.0291807,	0.0273297,	0.0135993,	0.033931
0.0267728,	0.0251004,	0.0124812,	0.0312126
0.0246811,	0.0232107,	0.0114286,	0.0289952
0.0225209,	0.0211172,	0.0105201,	0.0264013
0.0218905,	0.0207315,	0.00954521,	0.0245861
0.0226585,	0.0213669,	0.0093571,	0.025116
0.0229811,	0.02173,	0.00964489,	0.0256994
0.0233323,	0.0220163,	0.00994753,	0.0262021
0.0231989,	0.0218187,	0.0101165,	0.026094
0.02312,	0.0218065,	0.0101258,	0.0262414
0.0227452,	0.021396,	0.010169,	0.0258931
0.02224,	0.0209449,	0.0100423,	0.0254568
0.0216891,	0.0204157,	0.00989913,	0.0249509
0.0208877,	0.0196254,	0.0097017,	0.0240685
0.0202254,	0.0190257,	0.00939618,	0.0234546
0.0193757,	0.0182148,	0.00914245,	0.0225638
0.0185129,	0.0173865,	0.00879654,	0.0215991
0.0181979,	0.0172952,	0.00844421,	0.020743
0.0188465,	0.0178813,	0.00809162,	0.0209114
0.0192154,	0.0181731,	0.00795947,	0.0213629
0.0195393,	0.0185167,	0.00816648,	0.0218764
0.0197218,	0.0186564,	0.00838916,	0.0221596
0.0197015,	0.0186349,	0.00850352,	0.0222326
0.0196987,	0.0186215,	0.00858639,	0.0223355
0.0194812,	0.0183831,	0.00862839,	0.0221603
0.0192195,	0.0181419,	0.00857076,	0.0219616
0.0188811,	0.0178132,	0.00853804,	0.0216697
0.0183708,	0.0173017,	0.00842586,	0.021144
0.0179333,	0.016902,	0.00826446,	0.0207353
0.0173725,	0.0163668,	0.00810426,	0.020167
0.0167228,	0.0157347,	0.00787956,	0.0194547
0.0169182,	0.0160882,	0.00764295,	0.0188613
0.0174035,	0.0165466,	0.00739771,	0.0193922
0.0177191,	0.0168188,	0.00736219,	0.0198093
0.0179153,	0.0170056,	0.00753205,	0.0201285
0.0180686,	0.0171365,	0.00771091,	0.0203857
0.0180505,	0.0170912,	0.00781902,	0.0204296
0.017968,	0.0170179,	0.00787023,	0.0204471
0.0178137,	0.0168579,	0.00790911,	0.0203511
0.0175135,	0.0165469,	0.00788015,	0.0200652
0.0171501,	0.0162098,	0.00779808,	0.0197615
0.0167604,	0.0158291,	0.00771088,	0.0193807
0.0162542,	0.0153245,	0.00756607,	0.0188403
0.0156406,	0.0149374,	0.0073648,	0.0181917
0.0161215,	0.0153863,	0.00715678,	0.0179864
0.0164644,	0.0156931,	0.00693122,	0.018462
0.0167369,	0.015946,	0.00703097,	0.0188677
0.016893,	0.0160809,	0.00719812,	0.01912
0.0169105,	0.0160727,	0.00730803,	0.0192015
