rho,	rhou,	rhov,	rhoet
0.443249,	0.217149,	0.395819,	0.516264
0.473232,	0.27293,	0.347897,	0.54151
0.47537,	0.289039,	0.323562,	0.543824
0.467897,	0.289541,	0.309554,	0.535992
0.444362,	0.275118,	0.293208,	0.51226
0.414147,	0.255081,	0.27512,	0.48095
0.383886,	0.23516,	0.257202,	0.448526
0.357748,	0.218795,	0.240984,	0.419185
0.339051,	0.20854,	0.227888,	0.396355
0.32945,	0.205288,	0.218955,	0.382133
0.328146,	0.207703,	0.214526,	0.37656
0.332456,	0.213124,	0.214154,	0.377794
0.338773,	0.218599,	0.216626,	0.382659
0.344238,	0.222216,	0.220464,	0.388149
0.34774,	0.223623,	0.224556,	0.392603
0.345912,	0.220582,	0.226874,	0.392358
0.337707,	0.212822,	0.226174,	0.385864
0.326025,	0.203056,	0.223088,	0.375415
0.313189,	0.193337,	0.218328,	0.363028
0.301677,	0.185701,	0.212878,	0.351041
0.29369,	0.181758,	0.207802,	0.3417
0.290592,	0.182177,	0.204033,	0.336646
0.292463,	0.186399,	0.202187,	0.336468
0.29817,	0.192955,	0.202468,	0.340602
0.30565,	0.199901,	0.204538,	0.347403
0.312857,	0.205652,	0.207712,	0.354931
0.318258,	0.209251,	0.211163,	0.361471
0.320515,	0.209939,	0.213963,	0.365384
0.317668,	0.206502,	0.21483,	0.36446
0.311117,	0.200468,	0.213758,	0.359585
0.302408,	0.193333,	0.211021,	0.351962
0.293439,	0.186777,	0.207222,	0.343292
0.286115,	0.182324,	0.203143,	0.335433
0.281986,	0.181021,	0.199606,	0.330073
0.281742,	0.183018,	0.197289,	0.328249
0.285029,	0.187549,	0.196581,	0.330079
0.290615,	0.193263,	0.197486,	0.334772
0.296733,	0.198608,	0.199591,	0.340816
0.301643,	0.202264,	0.202175,	0.346446
0.303888,	0.203308,	0.204379,	0.349996
0.302208,	0.201036,	0.205269,	0.349911
0.297219,	0.196303,	0.20458,	0.346374
