rho,	rhou,	rhov,	rhoet
1.37651,	1.25321,	0.699428,	1.53299
1.14164,	1.04833,	0.528764,	1.28236
0.992803,	0.915465,	0.437812,	1.11571
0.905443,	0.836202,	0.391544,	1.01508
0.8508,	0.785789,	0.367427,	0.952046
0.811077,	0.748723,	0.352435,	0.906808
0.77939,	0.719074,	0.341071,	0.870895
0.753732,	0.69511,	0.331695,	0.841713
0.732859,	0.675663,	0.323811,	0.817916
0.715449,	0.659474,	0.317053,	0.798105
0.700508,	0.645609,	0.311104,	0.781154
0.687459,	0.633522,	0.305772,	0.766369
0.675931,	0.622865,	0.300954,	0.753321
0.665614,	0.613337,	0.296569,	0.741657
0.656269,	0.604715,	0.292548,	0.731106
0.647727,	0.596841,	0.288835,	0.721471
0.639863,	0.589595,	0.28539,	0.712608
0.632575,	0.582883,	0.28218,	0.704402
0.62578,	0.576626,	0.279174,	0.696756
0.619415,	0.570765,	0.276348,	0.689595
0.613431,	0.565256,	0.273684,	0.682866
0.607783,	0.560056,	0.271164,	0.676518
0.602429,	0.555126,	0.268772,	0.670503
0.597342,	0.550442,	0.266495,	0.664788
0.592496,	0.54598,	0.264323,	0.659346
0.587868,	0.541718,	0.262247,	0.654148
0.583437,	0.537636,	0.260257,	0.649173
0.579186,	0.533721,	0.258346,	0.6444
0.575098,	0.529954,	0.256507,	0.639811
0.571162,	0.526327,	0.254735,	0.635391
0.567366,	0.522829,	0.253025,	0.631129
0.563696,	0.519446,	0.251371,	0.627008
0.560145,	0.516171,	0.249769,	0.62302
0.556703,	0.512998,	0.248215,	0.619155
0.553362,	0.509916,	0.246706,	0.615403
0.550115,	0.506921,	0.24524,	0.611756
0.546957,	0.504007,	0.243812,	0.608209
0.54388,	0.501168,	0.24242,	0.604753
0.54088,	0.498398,	0.241063,	0.601382
0.537951,	0.495694,	0.239737,	0.598091
0.535089,	0.493051,	0.238441,	0.594875
0.53229,	0.490466,	0.237174,	0.591729
0.529549,	0.487934,	0.235932,	0.588648
0.526865,	0.485453,	0.234715,	0.585631
0.524231,	0.48302,	0.233521,	0.58267
0.521647,	0.480631,	0.232349,	0.579765
0.519109,	0.478284,	0.231198,	0.576911
0.516615,	0.475977,	0.230066,	0.574105
0.514161,	0.473708,	0.228952,	0.571345
0.511746,	0.471473,	0.227856,	0.568628
0.509367,	0.469272,	0.226776,	0.565952
0.507023,	0.467102,	0.225711,	0.563314
0.504711,	0.464962,	0.224661,	0.560713
0.50243,	0.46285,	0.223624,	0.558146
0.500178,	0.460764,	0.222601,	0.555611
0.497954,	0.458704,	0.22159,	0.553107
0.495756,	0.456668,	0.220591,	0.550632
0.493583,	0.454654,	0.219603,	0.548186
0.491433,	0.452662,	0.218625,	0.545765
0.489306,	0.45069,	0.217658,	0.543369
0.487199,	0.448737,	0.2167,	0.540997
0.485113,	0.446802,	0.215751,	0.538647
0.483046,	0.444885,	0.21481,	0.536318
0.480996,	0.442984,	0.213877,	0.534008
0.478964,	0.441098,	0.212952,	0.531719
0.476947,	0.439227,	0.212035,	0.529446
0.474945,	0.437369,	0.211124,	0.52719
0.472958,	0.435525,	0.210219,	0.524951
0.470984,	0.433692,	0.20932,	0.522726
0.469023,	0.431871,	0.208428,	0.520515
0.467073,	0.43006,	0.20754,	0.518318
0.465135,	0.428261,	0.206657,	0.516133
0.463208,	0.42647,	0.20578,	0.51396
0.46129,	0.424689,	0.204906,	0.511798
0.459382,	0.422916,	0.204037,	0.509647
0.457483,	0.421151,	0.203172,	0.507505
0.455591,	0.419393,	0.202311,	0.505372
0.453708,	0.417642,	0.201452,	0.503248
0.451832,	0.415898,	0.200598,	0.501132
0.449962,	0.41416,	0.199746,	0.499023
0.448098,	0.412427,	0.198896,	0.496921
0.44624,	0.410699,	0.198049,	0.494825
0.444387,	0.408976,	0.197205,	0.492734
0.442538,	0.407256,	0.196362,	0.490649
0.440693,	0.40554,	0.195522,	0.488568
0.438853,	0.403828,	0.194682,	0.486491
0.437015,	0.402119,	0.193845,	0.484418
0.435181,	0.400412,	0.193008,	0.482348
0.433349,	0.398707,	0.192173,	0.480281
0.431519,	0.397004,	0.191338,	0.478217
0.429691,	0.395303,	0.190505,	0.476153
0.427865,	0.393602,	0.189671,	0.474092
0.426039,	0.391903,	0.188839,	0.472031
0.424214,	0.390204,	0.188006,	0.469972
0.422389,	0.388505,	0.187173,	0.467912
0.420564,	0.386805,	0.18634,	0.465851
0.418739,	0.385106,	0.185507,	0.463791
0.416912,	0.383405,	0.184674,	0.461729
0.415085,	0.381703,	0.183839,	0.459666
0.413255,	0.379999,	0.183004,	0.4576
0.411425,	0.378294,	0.182168,	0.455533
0.409591,	0.376586,	0.181331,	0.453463
0.407756,	0.374875,	0.180493,	0.45139
0.405917,	0.373162,	0.179653,	0.449313
0.404076,	0.371446,	0.178812,	0.447233
0.402231,	0.369727,	0.177968,	0.445149
0.400382,	0.368004,	0.177124,	0.44306
0.398529,	0.366277,	0.176277,	0.440967
0.396672,	0.364546,	0.175428,	0.438869
0.39481,	0.362811,	0.174577,	0.436765
0.392944,	0.36107,	0.173723,	0.434656
0.391072,	0.359325,	0.172867,	0.43254
0.389195,	0.357575,	0.172008,	0.430419
0.387312,	0.355819,	0.171147,	0.42829
0.385423,	0.354057,	0.170282,	0.426155
0.383528,	0.35229,	0.169415,	0.424012
0.381626,	0.350516,	0.168544,	0.421862
0.379718,	0.348736,	0.16767,	0.419704
0.377802,	0.346948,	0.166793,	0.417537
0.375879,	0.345154,	0.165912,	0.415362
0.373948,	0.343353,	0.165028,	0.413178
0.37201,	0.341543,	0.164139,	0.410984
0.370063,	0.339726,	0.163247,	0.408781
0.368108,	0.337901,	0.162351,	0.406569
0.366143,	0.336068,	0.16145,	0.404345
0.36417,	0.334225,	0.160545,	0.402112
0.362188,	0.332374,	0.159636,	0.399867
0.360195,	0.330514,	0.158722,	0.397612
0.358193,	0.328644,	0.157803,	0.395345
0.356181,	0.326765,	0.15688,	0.393066
0.354159,	0.324876,	0.155951,	0.390775
0.352126,	0.322976,	0.155017,	0.388471
0.350082,	0.321067,	0.154078,	0.386155
0.348026,	0.319146,	0.153134,	0.383826
0.34596,	0.317215,	0.152184,	0.381484
