rho,	rhou,	rhov,	rhoet
0.129948,	0.116833,	0.0743806,	0.148856
0.0962169,	0.0873525,	0.0504372,	0.112157
0.0702717,	0.0640704,	0.0360393,	0.083086
0.0625813,	0.0575868,	0.0306793,	0.0713921
0.0615654,	0.0563872,	0.031384,	0.0711778
0.0561823,	0.0511992,	0.0294381,	0.0655843
0.0485563,	0.0448367,	0.0260504,	0.0569614
0.05016,	0.0460759,	0.0252187,	0.0576705
0.0488506,	0.0447261,	0.0251563,	0.0565693
0.0455517,	0.041504,	0.0240166,	0.0531448
0.0437815,	0.0403062,	0.0219796,	0.0501446
0.043776,	0.0401873,	0.0223606,	0.0504944
0.0425275,	0.0389014,	0.0220498,	0.0493042
0.0399564,	0.036398,	0.0211311,	0.0466038
0.0400524,	0.0368428,	0.0203586,	0.0460252
0.039727,	0.0364489,	0.0204151,	0.0459034
0.0385105,	0.0352006,	0.0200588,	0.044686
0.0372493,	0.0342131,	0.0192515,	0.0427783
0.037332,	0.034303,	0.0190716,	0.0430177
0.0368495,	0.0337802,	0.0190024,	0.042623
0.0356476,	0.0325608,	0.0186332,	0.0413929
0.0352959,	0.0324659,	0.018025,	0.0406366
0.0352179,	0.0323475,	0.0180679,	0.0406618
0.0346414,	0.031731,	0.0179294,	0.0401037
0.0336355,	0.0308841,	0.0175365,	0.0388698
0.033735,	0.0310152,	0.0172609,	0.0388687
0.0335149,	0.0307623,	0.0172451,	0.0387167
0.032865,	0.0300819,	0.0170613,	0.0380704
0.0324078,	0.0297717,	0.016652,	0.0372712
0.0324021,	0.0297659,	0.0166076,	0.0373746
0.0320867,	0.0294302,	0.01655,	0.0370952
0.0313828,	0.0287065,	0.0163327,	0.0363678
0.0313409,	0.028821,	0.0160382,	0.0361118
0.0312515,	0.0286977,	0.016051,	0.0360766
0.0308548,	0.0282767,	0.0159526,	0.0356881
0.0303765,	0.027904,	0.0157037,	0.0349597
0.030415,	0.0279502,	0.0155854,	0.0350564
0.0302221,	0.0277395,	0.01556,	0.0349022
0.02977,	0.0272655,	0.0154236,	0.0344407
0.0296104,	0.0271911,	0.0151549,	0.0340708
0.0295592,	0.027142,	0.0151713,	0.0340865
0.0293018,	0.0268712,	0.0151074,	0.0338522
0.0288718,	0.0264765,	0.0149453,	0.0333248
0.0288884,	0.0265387,	0.0147998,	0.0332723
0.0287703,	0.0264125,	0.0147865,	0.0332033
0.0284603,	0.0260871,	0.0147019,	0.0328827
0.0282451,	0.0259282,	0.0145159,	0.0324997
0.0282131,	0.0259179,	0.0144669,	0.0325185
0.0280421,	0.0257222,	0.014434,	0.0323662
0.0276885,	0.0253642,	0.014322,	0.0319967
0.0276548,	0.0253958,	0.0141699,	0.0318402
0.0275861,	0.0253218,	0.0141637,	0.0317948
0.027358,	0.0250887,	0.0141037,	0.0315774
0.0271295,	0.0248819,	0.0139705,	0.0311757
0.0271071,	0.0248786,	0.0138998,	0.0312046
0.0269856,	0.0247519,	0.0138731,	0.0311006
0.0267293,	0.024494,	0.0137902,	0.0308513
0.0266383,	0.0244232,	0.0136472,	0.0306043
0.0265783,	0.0243787,	0.0136406,	0.0305922
0.0264141,	0.024225,	0.0135951,	0.0304591
0.0261737,	0.0239745,	0.0134953,	0.0301685
0.0261639,	0.0239843,	0.0134136,	0.0300708
0.0260708,	0.0239126,	0.0133916,	0.0300169
0.0258853,	0.0237287,	0.0133306,	0.0298494
0.0257525,	0.0235853,	0.0132246,	0.0295706
0.0257076,	0.0235692,	0.0131876,	0.0295563
0.0255878,	0.0234677,	0.0131535,	0.0294702
0.0253918,	0.023263,	0.0130805,	0.0292743
0.0253446,	0.0232075,	0.0129833,	0.0291096
0.0252713,	0.0231695,	0.0129709,	0.029061
0.025135,	0.0230466,	0.012927,	0.0289501
0.0249695,	0.0228669,	0.0128458,	0.0287357
0.0249521,	0.0228432,	0.0127897,	0.028663
0.0248572,	0.022788,	0.0127641,	0.0285881
0.0247145,	0.022651,	0.012713,	0.0284594
0.0246062,	0.0225387,	0.0126282,	0.0282366
0.0245764,	0.022495,	0.0126031,	0.0282325
0.0244667,	0.0224273,	0.0125681,	0.0281395
0.0243221,	0.0222833,	0.0125123,	0.0280006
0.0242647,	0.0222183,	0.01243,	0.0278506
0.0242181,	0.022167,	0.0124236,	0.0278194
0.0241016,	0.0220898,	0.0123839,	0.0277178
0.0239785,	0.0219445,	0.0123255,	0.0275751
0.0239417,	0.0219127,	0.0122693,	0.0274709
0.0238816,	0.0218581,	0.0122528,	0.0274296
0.0237635,	0.0217759,	0.0122114,	0.0273257
0.0236744,	0.0216416,	0.0121526,	0.0271829
0.0236358,	0.0216238,	0.0121152,	0.0271137
0.023567,	0.0215686,	0.012092,	0.0270634
0.0234512,	0.0214854,	0.0120505,	0.0269612
0.0233854,	0.0213808,	0.0119931,	0.0268227
0.0233474,	0.0213547,	0.0119686,	0.026778
0.0232741,	0.0212984,	0.0119411,	0.0267252
0.0231639,	0.0212174,	0.011901,	0.0266243
0.0231135,	0.0211329,	0.0118463,	0.0265217
0.0230765,	0.0211125,	0.0118293,	0.026469
0.0230025,	0.0210501,	0.0118003,	0.0264183
0.0228998,	0.0209709,	0.0117622,	0.0263175
0.0228611,	0.0209024,	0.0117124,	0.0262326
0.0228224,	0.0208863,	0.0116969,	0.0261838
0.0227506,	0.0208221,	0.0116707,	0.0261331
0.0226575,	0.0207445,	0.0116333,	0.0260348
0.0226229,	0.020695,	0.0115895,	0.0259581
0.0225836,	0.0206741,	0.0115775,	0.0259185
0.0225173,	0.0206112,	0.0115544,	0.0258675
0.0224343,	0.0205353,	0.0115165,	0.0257741
0.0224079,	0.0204988,	0.0114794,	0.0256981
0.0223666,	0.0204737,	0.0114694,	0.0256686
0.0223057,	0.0204158,	0.0114454,	0.0256197
0.0222382,	0.020341,	0.0114101,	0.0255324
0.0222082,	0.020313,	0.0113785,	0.0254674
0.022171,	0.0202857,	0.0113663,	0.0254322
0.0221155,	0.020234,	0.0113427,	0.0253878
0.0220497,	0.0201665,	0.0113102,	0.0253053
