rho,	rhou,	rhov,	rhoet
0.0223287,	0.0148017,	0.0206803,	0.0275322
0.0236039,	0.0157188,	0.0207415,	0.0285961
0.0230155,	0.0155504,	0.0199607,	0.0282242
0.0222948,	0.0151413,	0.019328,	0.0274259
0.0218186,	0.0152646,	0.0194745,	0.026938
0.0220815,	0.0163351,	0.0178227,	0.0287633
0.0202409,	0.0137923,	0.0185036,	0.0255537
0.0195576,	0.0133265,	0.0173937,	0.0247613
0.0188631,	0.0129384,	0.0167484,	0.0239495
0.0182098,	0.0125642,	0.0160853,	0.0232924
0.0175934,	0.0122348,	0.0154745,	0.0226043
0.0170384,	0.011914,	0.0149327,	0.0220187
0.0166536,	0.0117458,	0.0144749,	0.021414
0.0160546,	0.0114523,	0.0139039,	0.0211587
0.0154378,	0.0109795,	0.0133738,	0.0203747
0.0149207,	0.0106123,	0.0132247,	0.0196674
0.0144036,	0.0102777,	0.0126853,	0.0190603
0.0138746,	0.00991422,	0.0121362,	0.0184306
0.0133263,	0.00950275,	0.0116169,	0.0177401
0.0128798,	0.00921776,	0.0111701,	0.0171486
0.0125062,	0.00909277,	0.0107905,	0.0166177
0.0118179,	0.0092287,	0.0101577,	0.0160847
0.0120608,	0.00945822,	0.00963788,	0.0152015
0.0123456,	0.00972155,	0.00916309,	0.0148184
0.0126631,	0.00992689,	0.00925236,	0.0152789
0.0129352,	0.0100893,	0.00958967,	0.0156786
0.0136779,	0.0115542,	0.0098756,	0.0177126
0.0133042,	0.010415,	0.010645,	0.0163643
0.0138127,	0.0116869,	0.0112447,	0.0183905
0.0149098,	0.0119679,	0.0108397,	0.0185127
0.0140303,	0.0110425,	0.0109743,	0.0177778
0.0140809,	0.0107275,	0.011296,	0.0174568
0.0140453,	0.0107482,	0.0113637,	0.0175569
0.0140737,	0.0107307,	0.0114618,	0.0176339
0.0140839,	0.0107447,	0.0114004,	0.0177426
0.0140668,	0.0108087,	0.0112739,	0.0178631
0.0140892,	0.0109085,	0.0111146,	0.0180674
0.0140627,	0.010947,	0.0109367,	0.0181703
0.013832,	0.010715,	0.0107402,	0.0178949
0.0134352,	0.0103895,	0.0105101,	0.0174296
0.0130065,	0.0100579,	0.010266,	0.0170108
0.0125706,	0.0097056,	0.0100178,	0.0165409
0.012139,	0.00936017,	0.0098049,	0.0160671
0.0117133,	0.00902231,	0.00958368,	0.0155921
0.0112826,	0.0086742,	0.00935227,	0.0151036
0.0108806,	0.00832365,	0.00911074,	0.014593
0.0107777,	0.00864218,	0.00886107,	0.0140803
0.0111032,	0.00889929,	0.00860181,	0.0136528
0.0114044,	0.00911538,	0.00848146,	0.0136594
0.0118046,	0.00962679,	0.00897075,	0.0146031
0.0119629,	0.0095468,	0.00910906,	0.0145226
0.0127352,	0.0108849,	0.00935971,	0.0164079
0.0123429,	0.00981209,	0.00958612,	0.015143
0.0124238,	0.00997554,	0.0108671,	0.0153545
0.0127133,	0.00996341,	0.00981085,	0.0157246
0.0127013,	0.00983273,	0.0101826,	0.0157002
0.0126494,	0.0097628,	0.0103337,	0.0156573
0.0126521,	0.00984803,	0.0104676,	0.0158344
0.012721,	0.00988588,	0.0105917,	0.0160051
0.0127183,	0.0098978,	0.0106653,	0.0161908
0.0127303,	0.00982882,	0.0106976,	0.0161479
0.0127222,	0.00980208,	0.0107691,	0.0162012
0.0127075,	0.00981654,	0.0108175,	0.0162788
0.0127106,	0.00984435,	0.0108031,	0.0163765
0.0125472,	0.00965381,	0.0108154,	0.0160754
0.0121944,	0.00935198,	0.0106075,	0.0157201
0.0118642,	0.00911773,	0.0104012,	0.0154234
0.0115416,	0.00888651,	0.0102058,	0.0151242
0.0112016,	0.00861794,	0.0100065,	0.0147691
0.0108682,	0.00837077,	0.00979779,	0.0144341
0.0105473,	0.00820097,	0.00957564,	0.01405
0.0103979,	0.00843512,	0.0093467,	0.0136602
0.0107103,	0.00864543,	0.00911136,	0.0133185
0.0109729,	0.0089407,	0.00886931,	0.0131879
0.0112107,	0.00918496,	0.00862348,	0.0135693
0.0114962,	0.00938966,	0.00851227,	0.013975
0.0117479,	0.00956885,	0.00873032,	0.0143479
0.0119622,	0.00971592,	0.00899259,	0.0146769
0.012122,	0.00987377,	0.00921595,	0.014936
0.0122551,	0.01005,	0.00939678,	0.015207
0.0124256,	0.0102004,	0.00951079,	0.0155268
0.0124341,	0.00997111,	0.00963308,	0.0155392
0.0125239,	0.0100103,	0.00982549,	0.0157166
0.0125812,	0.0100177,	0.00996162,	0.0158429
0.0126038,	0.010039,	0.0100845,	0.0159275
0.0126783,	0.0101076,	0.0102875,	0.0160696
0.0127538,	0.0101984,	0.0104793,	0.0162526
0.0128538,	0.010285,	0.0105484,	0.0164617
