rho,	rhou,	rhov,	rhoet
0.113274,	0.0836873,	0.0818136,	0.129755
0.113216,	0.081148,	0.079219,	0.125331
0.112706,	0.0824745,	0.0766034,	0.126559
0.110164,	0.081082,	0.0749843,	0.124425
0.108743,	0.0803863,	0.0726889,	0.123175
0.106126,	0.0784498,	0.0711114,	0.120455
0.104474,	0.0777091,	0.0692237,	0.119136
0.102653,	0.0767823,	0.0675597,	0.117588
0.100745,	0.0756875,	0.0659882,	0.115843
0.0990055,	0.0746773,	0.0644267,	0.11418
0.0972716,	0.0736482,	0.0629221,	0.112475
0.0955934,	0.0726161,	0.061454,	0.110712
0.0939807,	0.07161,	0.0600469,	0.108989
0.092436,	0.0706377,	0.0586975,	0.107335
0.0909484,	0.0697082,	0.0574221,	0.105724
0.089542,	0.0687973,	0.0561825,	0.10414
0.0882156,	0.0679543,	0.0550066,	0.102625
0.0869685,	0.0671577,	0.0538838,	0.101165
0.0858014,	0.0664131,	0.0528185,	0.0997697
0.0847136,	0.0657203,	0.0518112,	0.0984446
0.0837031,	0.0650789,	0.0508597,	0.0971869
0.0827725,	0.0645136,	0.0499763,	0.0960467
0.0819114,	0.0639703,	0.0491334,	0.0949233
0.0811023,	0.0634744,	0.0483382,	0.0938723
0.0802007,	0.0629424,	0.0474477,	0.0926972
0.0793986,	0.0624767,	0.0466143,	0.0916006
0.0787303,	0.0620976,	0.045889,	0.0906534
0.0781796,	0.0617958,	0.0452692,	0.0898477
0.0777293,	0.0615613,	0.0447501,	0.0891728
0.0773688,	0.0614002,	0.0443297,	0.0886419
0.0770906,	0.0613175,	0.0440163,	0.0882621
0.0768554,	0.0612051,	0.0437457,	0.0878855
0.0766652,	0.0611433,	0.0435625,	0.0876185
0.0765072,	0.0610985,	0.0434473,	0.0874244
0.0763673,	0.06106,	0.0433799,	0.0872696
0.0762472,	0.0610286,	0.0433644,	0.0871561
0.0761516,	0.0610111,	0.0434058,	0.0870828
0.0763094,	0.0616746,	0.0434969,	0.0878095
0.0759627,	0.0609184,	0.0436327,	0.086945
0.0759071,	0.0612162,	0.043476,	0.08846
0.075897,	0.0618288,	0.0437268,	0.0910225
0.0741732,	0.059548,	0.044682,	0.087526
0.0729289,	0.0574266,	0.0457522,	0.0835369
0.0778371,	0.0623951,	0.0438536,	0.0891388
0.0751759,	0.0592325,	0.0448237,	0.0855265
0.0751206,	0.059197,	0.0449001,	0.0855219
0.0750083,	0.0592291,	0.0449407,	0.0855232
0.0750574,	0.0592053,	0.0448742,	0.0855936
0.0750564,	0.0592885,	0.0447237,	0.0857182
0.0751096,	0.0594893,	0.044381,	0.0859793
0.0750818,	0.0596098,	0.0439977,	0.0861398
0.0749008,	0.0595814,	0.043589,	0.0861005
0.0746421,	0.0594897,	0.0431825,	0.0860215
0.0742372,	0.0592794,	0.0427748,	0.0857021
0.0733891,	0.0585596,	0.0423202,	0.0847417
0.0724323,	0.0577414,	0.0418911,	0.0836472
0.0715518,	0.0569943,	0.0414824,	0.0825938
0.0707579,	0.0563316,	0.0411055,	0.0816159
0.0701564,	0.0557945,	0.0408279,	0.0808582
0.0694224,	0.0552899,	0.0405405,	0.0800242
